primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;136.9469906000304;None;138.3883066000417;138.70504980004625;139.83881700003985;139.86340920004295;141.92174220003653;None;7;0;141.92174220003653;None;;;;;;;;5;;;;;0.5569427999434993;;;143.47163550002733;None;None;None;[];143.47163550002733;None;None;143.47163550002733;None;;;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;146.49648620001972;None;147.76301540003624;148.07972930005053;149.25479970005108;149.27148460003082;155.00472110003466;None;8;0;155.00472110003466;None;;;;;;;;7;;;;;0.5058337000082247;;;156.5545253000455;None;None;None;[];156.5545253000455;None;"['9', '9']";156.5545253000455;None;"[0.20415210002101958, 0.5561260000104085]";;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;159.55458330002148;None;161.22092030005297;161.53769560001092;162.71312080003554;162.73769090004498;170.8293304000399;None;7;0;170.8293304000399;None;;;;;;;;3;;;;;0.36952119995839894;;;172.4124800999998;None;None;None;[];172.4124800999998;None;"['7', '7']";172.4124800999998;None;"[15.804064699972514, 2.2739829000202008]";;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;175.39606520003872;None;177.3620818000054;177.67892130004475;178.86225649999687;178.8788747000508;193.29533980000997;None;9;0;193.29533980000997;None;;;;;;;;6;;;;;0.4071735999896191;;;194.84510350000346;None;None;None;[];194.84510350000346;None;['9'];194.84510350000346;None;[0.2573694999446161];;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;197.8534665000043;None;199.36995570000727;199.68646890000673;200.80367190000834;200.82051540003158;203.83645050000632;None;9;0;203.83645050000632;None;;;;;;;;6;;;;;0.434170099964831;;;205.386434700049;None;None;None;[];205.386434700049;None;['9'];205.386434700049;None;[0.34829230001196265];;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;208.38645370001905;None;209.86945800000103;210.18635610002093;211.36107700003777;211.37789160001557;213.9446098000044;None;8;0;213.9446098000044;None;;;;;;;;5;;;;;0.4060258000390604;;;215.50274980004178;None;None;None;[];215.50274980004178;None;None;215.50274980004178;None;;;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;158.9411396037211;s_s;;;;;0;14;14;14;;;;;;;218.5360961999977;None;220.08586200000718;220.4025414000498;221.602464399999;221.61920509999618;228.96080739999888;None;None;0;228.96080739999888;None;;;;;;;;5;;;;;;;;230.50212590000592;None;None;None;[];230.50212590000592;None;None;230.50212590000592;None;;;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;180.59976631384873;h_s;;;;;0;15;15;15;;;;;;;233.53546199999982;None;235.25205460004508;235.568808800017;236.69381980004255;236.71039970003767;238.70204420003574;None;None;0;238.70204420003574;None;;;;;;;;5;;;;;;;;240.74369910004316;None;None;None;[];240.74369910004316;None;"['7', '9']";240.74369910004316;None;"[0.13492249994305894, 1.1348088999511674]";;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_133.3.wmv;happy;9.0;incongruent;130.0;150.0;152.577966552593;s_h;;;;;0;16;16;16;;;;;;;243.7435559000005;None;245.23505460005254;245.55176990001928;246.6767714000307;246.69347150000976;248.685017300013;None;9;0;248.685017300013;None;;;;;;;;6;;;;;0.6339178999769501;;;250.2350278000231;None;None;None;[];250.2350278000231;None;['9'];250.2350278000231;None;[1.0839732000022195];;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_128.1.wmv;sad;7.0;incongruent;120.0;160.0;171.0492454518585;h_s;;;;;0;17;17;17;;;;;;;253.23509230004856;None;254.87632500001928;255.19312930002343;256.34356310003204;256.368050100049;258.3264347000513;None;8;0;258.3264347000513;None;;;;;;;;5;;;;;0.5442124999826774;;;259.9014071000274;None;None;None;[];259.9014071000274;None;None;259.9014071000274;None;;;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
1.0;f;021_o_f_h_a.jpg;happy;9.0;sad_116.1.wmv;sad;7.0;incongruent;120.0;160.0;184.06847610053055;h_s;;;;;0;18;18;18;;;;;;;262.9263192000217;None;264.6762519000331;264.99274390004575;266.1342854000395;266.15125360002276;268.142916300043;None;7;0;268.142916300043;None;;;;;;;;4;;;;;0.47210870002163574;;;269.6927723000408;None;None;None;[];269.6927723000408;None;['7'];269.6927723000408;None;[0.11373169999569654];;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;157.40741103039684;s_h;;;;;0;19;19;19;;;;;;;272.69285829999717;None;274.2091274000122;274.52589400002034;275.6758837000234;275.6924138000468;280.050867700018;None;9;0;280.050867700018;None;;;;;;;;8;;;;;0.3238837000099011;;;281.66742579999845;None;None;None;[];281.66742579999845;None;"['9', '9', '9', '9', '7']";281.66742579999845;None;"[0.011432999977841973, 0.2671388000017032, 0.483054899959825, 0.7150692999712192, 2.387208300002385]";;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
8.0;f;028_y_f_s_a.jpg;sad;7.0;happy_122.3.wmv;happy;9.0;incongruent;130.0;150.0;171.8670540936116;s_h;;;;;0;20;20;20;;;;;;;284.675795200048;None;286.3338165000314;286.6505003000493;287.7842761000502;287.80886370001826;289.78370030003134;None;9;0;289.78370030003134;None;;;;;;;;6;;;;;0.32698790001450107;;;291.33374230004847;None;None;None;[];291.33374230004847;None;"['9', '9']";291.33374230004847;None;"[0.18486569996457547, 0.6809544999850914]";;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
8.0;m;008_y_m_s_a.jpg;sad;7.0;sad_6.5ns.avi;sad;7.0;congruent;130.0;160.0;170.39333839271438;s_s;;;;;0;21;21;21;;;;;;;294.34248030005256;None;295.9751256000018;296.29188790003536;297.4672549000243;297.483673300012;302.42503570002737;None;7;0;302.42503570002737;None;;;;;;;;5;;;;;0.46969320002244785;;;303.9748585000052;None;None;None;[];303.9748585000052;None;None;303.9748585000052;None;;;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;120.0;150.0;225.70986890587952;h_h;;;;;0;22;22;22;;;;;;;307.0083127000253;None;309.09143580001546;309.40814740001224;310.54189930000575;310.5664140000008;315.13303310004994;None;9;0;315.13303310004994;None;;;;;;;;8;;;;;0.7214820999652147;;;316.73304790002294;None;None;None;[];316.73304790002294;None;"['9', '9', '9', '9']";316.73304790002294;None;"[0.03346020000753924, 0.3138090000138618, 0.6335559000144713, 1.5696202000253834]";;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
8.0;m;008_y_m_h_a.jpg;happy;9.0;sad_111.1.wmv;sad;7.0;incongruent;120.0;160.0;152.63076835312847;h_s;;;;;0;23;23;23;;;;;;;319.7328716000193;None;321.2077283000108;321.5244030000176;322.65772100002505;322.67442570003914;324.6577703000512;None;7;0;324.6577703000512;None;;;;;;;;5;;;;;0.3969440999790095;;;326.20773900003405;None;None;None;[];326.20773900003405;None;None;326.20773900003405;None;;;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_67.2ns.avi;sad;7.0;congruent;130.0;160.0;220.9892697323079;s_s;;;;;0;24;24;24;;;;;;;329.22421260003466;None;331.2825183000532;331.5991124000284;332.7991560000228;332.8156949999975;341.9572323000175;None;7;0;341.9572323000175;None;;;;;;;;4;;;;;0.27335800003493205;;;343.62363670003833;None;None;None;[];343.62363670003833;None;['7'];343.62363670003833;None;[1.6870989000308327];;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_29.1ns.avi;happy;9.0;incongruent;130.0;150.0;120.0316142834122;s_h;;;;;0;25;25;25;;;;;;;346.62383769999724;None;347.82354720000876;348.14008540002396;349.2986243000487;349.3152575000422;351.9657298999955;None;9;0;351.9657298999955;None;;;;;;;;7;;;;;0.5370364000555128;;;353.65686310001183;None;None;None;[];353.65686310001183;None;"['9', '9', '9']";353.65686310001183;None;"[0.3177286999998614, 0.6938511999906041, 1.8858194999629632]";;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
