primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;key_resp.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
8.0;m;008_y_m_s_a.jpg;sad;7.0;sad_6.5ns.avi;sad;7.0;congruent;130.0;160.0;170.39333839271438;s_s;;;;;0;21;21;21;;;;;;;371.9614003000315;None;373.5944119000342;373.9195064000087;375.0859727000352;375.1025420000078;380.04434709995985;None;7;0;380.04434709995985;None;;;;;;;;3;;;;;;;381.6025526999729;None;None;None;[];381.6025526999729;None;"['7', '7', '7']";"[1.3300145999528468, 1.6016481999540702, 1.9537253000307828]";381.6025526999729;None;0.6723859999328852;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;120.0;150.0;225.70986890587952;h_h;;;;;0;22;22;22;;;;;;;384.60247290006373;None;386.6938994000666;387.0105868000537;388.1604643999599;388.1861000000499;392.71895580005366;None;9;0;392.71895580005366;None;;;;;;;;8;;;;;;;394.268797500059;None;None;None;[];394.268797500059;None;"['9', '9', '9']";"[1.327488699927926, 1.6474494999274611, 2.0157080999342725]";394.268797500059;None;0.8133019000524655;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
8.0;m;008_y_m_h_a.jpg;happy;9.0;sad_111.1.wmv;sad;7.0;incongruent;120.0;160.0;152.63076835312847;h_s;;;;;0;23;23;23;;;;;;;397.26881879998837;None;398.7518390000332;399.0684980000369;400.2100944999838;400.23524369997904;402.2020196999656;None;7;0;402.2020196999656;None;;;;;;;;4;;;;;;;403.7518690000288;None;None;None;[];403.7518690000288;None;['7'];[0.8286918000085279];403.7518690000288;None;1.1784155999775976;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_67.2ns.avi;sad;7.0;congruent;130.0;160.0;220.9892697323079;s_s;;;;;0;24;24;24;;;;;;;406.7602468000259;None;408.8264974000631;409.14316580002196;410.2932585000526;410.30997159995604;419.50145680003334;None;7;0;419.50145680003334;None;;;;;;;;3;;;;;;;421.05124760000035;None;None;None;[];421.05124760000035;None;"['7', '7', '7']";"[0.5689350999891758, 1.209175999974832, 1.7133678999962285]";421.05124760000035;None;0.591104399994947;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_29.1ns.avi;happy;9.0;incongruent;130.0;150.0;120.0316142834122;s_h;;;;;0;25;25;25;;;;;;;424.05959359998815;None;425.26788219995797;425.58443539997097;426.7762279000599;426.7928351999726;429.4095224000048;None;9;0;429.4095224000048;None;;;;;;;;7;;;;;;;430.96766369999386;None;None;None;[];430.96766369999386;None;"['9', '9']";"[0.6687566000036895, 0.9245799999916926]";430.96766369999386;None;0.6829464000184089;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
6.0;m;016_y_m_s_a.jpg;sad;7.0;sad_8.3ns.avi;sad;7.0;congruent;130.0;160.0;152.85371098242734;s_s;;;;;0;26;26;26;;;;;;;433.9677479000529;None;435.45899119996466;435.77589990000706;436.99248929996975;437.00919160002377;444.6674080999801;None;7;0;444.6674080999801;None;;;;;;;;4;;;;;;;446.217214699951;None;None;None;[];446.217214699951;None;['7'];[0.8992945000063628];446.217214699951;None;1.4409848999930546;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
6.0;m;016_y_m_h_a.jpg;happy;9.0;sad_114.1.wmv;sad;7.0;incongruent;120.0;160.0;136.20550699298644;h_s;;;;;0;27;27;27;;;;;;;449.2256386000663;None;450.57565330003854;450.8919914000435;452.0171262000222;452.03360820002854;454.0420014000265;None;7;0;454.0420014000265;None;;;;;;;;2;;;;;;;455.59195579995867;None;None;None;[];455.59195579995867;None;"['7', '7', '7', '7', '7']";"[0.548668299918063, 0.8444084000075236, 1.236686399905011, 1.7487191999098286, 2.236720399931073]";455.59195579995867;None;0.930647199973464;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;215.61964028550614;s_h;;;;;0;28;28;28;;;;;;;458.60030339995865;None;460.5999617000343;460.9168335000286;462.0418016000185;462.0583962999517;464.05009240005165;None;9;0;464.05009240005165;None;;;;;;;;7;;;;;;;465.59994560002815;None;None;None;[];465.59994560002815;None;"['9', '9']";"[1.1086052999598905, 2.4766337999608368]";465.59994560002815;None;0.6582465999526903;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
6.0;m;016_y_m_h_a.jpg;happy;9.0;happy_9.2ns.avi;happy;9.0;congruent;120.0;150.0;130.52042428082717;h_h;;;;;0;29;29;29;;;;;;;468.6084243999794;None;469.90802079997957;470.22475850000046;471.3748236000538;471.39136839995626;477.28306769998744;None;9;0;477.28306769998744;None;;;;;;;;7;;;;;;;478.8328427999513;None;None;None;[];478.8328427999513;None;"['9', '9']";"[0.7956244999077171, 1.1314937999704853]";478.8328427999513;None;0.729437300004065;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
0.0;f;040_y_f_s_a.jpg;sad;7.0;happy_127.3.wmv;happy;9.0;incongruent;130.0;150.0;131.7195455720239;s_h;;;;;0;30;30;30;;;;;;;481.84112740005367;None;483.14097209996544;483.4577382999705;484.5827972999541;484.59938080003485;486.65777499997057;None;9;0;486.65777499997057;None;;;;;;;;8;;;;;;;488.2076224000193;None;None;None;[];488.2076224000193;None;"['9', '9', '9', '9', '9']";"[0.4930596000049263, 0.9568093999987468, 1.260652899974957, 1.6769301999593154, 2.164667100063525]";488.2076224000193;None;0.554708999930881;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
