primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_2.2ns.avi;happy;9.0;congruent;120.0;150.0;206.34800317295262;h_h;;;;;0;48;48;48;;;;;;;638.535394400009;None;640.5270539999474;640.8435917999595;642.0353805000195;642.0519433999434;654.1766980999382;None;9;0;654.1766980999382;None;;;;;;;;6;;;;;;;0.4616495999507606;655.7348290999653;None;None;None;[];655.7348290999653;None;['9'];[0.6394153001019731];655.7348290999653;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
3.0;m;033_o_m_h_a.jpg;happy;9.0;happy_24.2ns.avi;happy;9.0;congruent;120.0;150.0;167.9423847659953;h_h;;;;;0;49;49;49;;;;;;;658.7432766999118;None;660.3596800999949;660.6763488999568;661.8347616000101;661.8520287999418;665.5345686000073;None;9;0;665.5345686000073;None;;;;;;;;7;;;;;;;0.4476049999939278;667.084488500026;None;None;None;[];667.084488500026;None;"['9', '9']";"[0.3058964000083506, 0.5697061999235302]";667.084488500026;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
1.0;f;021_o_f_s_a.jpg;sad;7.0;happy_61.2ns.avi;happy;9.0;incongruent;130.0;150.0;210.94664004826666;s_h;;;;;0;50;50;50;;;;;;;670.0928124999627;None;672.0926000999752;672.4093822999857;673.5674704000121;673.5841156999813;678.0675321000163;None;9;0;678.0675321000163;None;;;;;;;;7;;;;;;;0.44291969994083047;679.617239599931;None;None;None;[];679.617239599931;None;"['9', '9']";"[0.5650954999728128, 0.8209193999646232]";679.617239599931;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
4.0;m;004_o_m_s_a.jpg;sad;7.0;sad_2.4ns.avi;sad;7.0;congruent;130.0;160.0;153.02079367163634;s_s;;;;;0;51;51;51;;;;;;;682.6258113000076;None;684.1339680999517;684.4505879000062;685.6923250999535;685.7089367000153;693.5503814999247;None;7;0;693.5503814999247;None;;;;;;;;3;;;;;;;0.7118892000289634;695.1000827000244;None;None;None;[];695.1000827000244;None;"['7', '7']";"[0.6581303999992087, 0.9220673999516293]";695.1000827000244;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_1.2ns.avi;happy;9.0;congruent;120.0;150.0;210.98946429383824;h_h;;;;;0;52;52;52;;;;;;;698.1086966999574;None;700.1501626999816;700.466723499936;701.6419718000107;701.6584755999502;714.3915455000242;None;9;0;714.3915455000242;None;;;;;;;;5;;;;;;;0.8067470999667421;715.9413015999598;None;None;None;[];715.9413015999598;None;None;;715.9413015999598;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_52.2ns.avi;happy;9.0;incongruent;130.0;150.0;172.57202848318138;s_h;;;;;0;53;53;53;;;;;;;718.957783699967;None;720.5993913999991;720.9160536999116;722.0828574999468;722.0995099999709;725.6161070999224;None;9;0;725.6161070999224;None;;;;;;;;6;;;;;;;0.8624769999878481;727.1659268999938;None;None;None;[];727.1659268999938;None;['9'];[0.7844237999524921];727.1659268999938;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
9.0;f;019_m_f_s_a.jpg;sad;7.0;happy_61.1ns.avi;happy;9.0;incongruent;130.0;150.0;181.3003220572762;s_h;;;;;0;54;54;54;;;;;;;730.1660305999685;None;731.9324211999774;732.2490950999781;733.4574180999771;733.4740872000111;740.7739916999126;None;9;0;740.7739916999126;None;;;;;;;;6;;;;;;;0.5044313999824226;742.323816100019;None;None;None;[];742.323816100019;None;['9'];[0.38652669999282807];742.323816100019;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_133.1.wmv;sad;7.0;incongruent;120.0;160.0;198.86251500867985;h_s;;;;;0;55;55;55;;;;;;;745.3239087000256;None;747.1902379000094;747.5069962999551;748.6570512999315;748.6736606999766;750.6402133000083;None;7;0;750.6402133000083;None;;;;;;;;4;;;;;;;1.1739670999813825;752.1901599999983;None;None;None;[];752.1901599999983;None;['7'];[0.6002252000616863];752.1901599999983;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_128.2.wmv;sad;7.0;incongruent;120.0;160.0;206.10005857915363;h_s;;;;;0;56;56;56;;;;;;;755.1902099999133;None;757.1149346999591;757.4316066999454;758.5982576999813;758.6147473999299;760.5648578000255;None;None;0;760.5648578000255;None;;;;;;;;4;;;;;;;;762.1146971000126;None;None;None;[];762.1146971000126;None;['7'];[0.3075872999615967];762.1146971000126;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
1.0;f;021_o_f_s_a.jpg;sad;7.0;sad_9.5ns.avi;sad;7.0;congruent;130.0;160.0;206.16642757875042;s_s;;;;;0;57;57;57;;;;;;;765.1148308999836;None;767.0395480999723;767.3562286000233;768.5146956000244;768.5313673999626;774.2144744999241;None;7;0;774.2144744999241;None;;;;;;;;3;;;;;;;0.6557668999303132;775.7644352000207;None;None;None;[];775.7644352000207;None;"['7', '7', '7']";"[0.5860241999616846, 0.9139785999432206, 1.4498675999930128]";775.7644352000207;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
1.0;f;021_o_f_h_a.jpg;happy;9.0;happy_12.1ns.avi;happy;9.0;congruent;120.0;150.0;132.59080005900228;h_h;;;;;0;58;58;58;;;;;;;778.7643615999259;None;780.1143320000265;780.4308738999534;781.5896814999869;781.6140604999382;789.180678899982;None;9;0;789.180678899982;None;;;;;;;;6;;;;;;;1.017541200038977;790.7305873999139;None;None;None;[];790.7305873999139;None;"['9', '7', '9']";"[1.4996480999980122, 1.92379659996368, 2.3957167000044137]";790.7305873999139;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
3.0;m;013_y_m_s_a.jpg;sad;7.0;happy_56.2ns.avi;happy;9.0;incongruent;130.0;150.0;163.39234110935848;s_h;;;;;0;59;59;59;;;;;;;793.7389784000115;None;795.3220323999412;795.6387358999345;796.8135280999122;796.8301795999287;801.796941199922;None;9;0;801.796941199922;None;;;;;;;;6;;;;;;;0.5612821999238804;803.3469019000186;None;None;None;[];803.3469019000186;None;['9'];[0.45927669992670417];803.3469019000186;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;806.3469077999471;None;;;;;;
