primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;key_resp.rt;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1.0;f;021_o_f_s_a.jpg;sad;7.0;happy_61.2ns.avi;happy;9.0;incongruent;130.0;150.0;146.79956415721207;;;;;0;26;26;26;;;;;;;454.1687898999953;None;455.63538829999743;455.95218670001486;457.1101134000055;457.1269256999949;461.61887060001027;None;9;0;461.61887060001027;None;;;;;;;;5;;;;;;463.4768441999913;None;None;None;[];463.4768441999913;None;None;463.4768441999913;None;0.7197693000198342;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
1.0;f;021_o_f_h_a.jpg;happy;9.0;sad_116.1.wmv;sad;7.0;incongruent;120.0;160.0;205.93899364307754;;;;;0;27;27;27;;;;;;;466.5017624000029;None;468.4265796999971;468.7432397000084;469.8767104000144;469.89322790000006;471.87681590000284;None;7;0;471.87681590000284;None;;;;;;;;5;;;;;;473.43490720001864;None;None;None;[];473.43490720001864;None;None;473.43490720001864;None;0.6059858999797143;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;140.0;150.0;145.4488529976734;;;;;0;28;28;28;;;;;;;476.4513951000117;None;477.88467180001317;478.2014737999998;479.3597670000163;479.3763675999944;482.3514375000086;None;None;0;482.3514375000086;None;;;;;;;;5;;;;;;483.90148020000197;None;None;None;[];483.90148020000197;None;None;483.90148020000197;None;;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
3.0;m;033_o_m_s_a.jpg;sad;7.0;happy_126.3.wmv;happy;9.0;incongruent;130.0;150.0;220.47504181707743;;;;;0;29;29;29;;;;;;;486.91777870000806;None;488.9760111999931;489.2927527000138;490.42585739999777;490.4427618999907;492.4261111000087;None;9;0;492.4261111000087;None;;;;;;;;5;;;;;;493.9760130000068;None;None;None;[];493.9760130000068;None;None;493.9760130000068;None;0.800736200006213;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
4.0;m;004_o_m_s_a.jpg;sad;7.0;sad_2.4ns.avi;sad;7.0;congruent;130.0;160.0;153.9424691910033;;;;;0;30;30;30;;;;;;;497.0093395000149;None;498.50926540000364;498.8258187000174;499.99254360000486;500.00914139999077;507.9175537000119;None;7;0;507.9175537000119;None;;;;;;;;4;;;;;;509.5005800999934;None;None;None;[];509.5005800999934;None;['7'];509.5005800999934;None;0.3572713999892585;[0.5263651999994181];;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
8.0;m;008_y_m_h_a.jpg;happy;9.0;sad_111.1.wmv;sad;7.0;incongruent;120.0;160.0;182.0123397825363;;;;;0;31;31;31;;;;;;;512.5088628999947;None;514.2335504000075;514.5504112000053;515.6755238999904;515.6920009000169;517.6836916000175;None;7;0;517.6836916000175;None;;;;;;;;3;;;;;;519.2335309000046;None;None;None;[];519.2335309000046;None;"['7', '7']";519.2335309000046;None;0.39114779999363236;"[0.32924950000597164, 0.6492266000132076]";;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;140.0;150.0;145.41905773865074;;;;;0;32;32;32;;;;;;;522.2336820999917;None;523.7250015000172;524.0419547999918;525.2169202000077;525.2335354000097;539.6582048000128;None;9;0;539.6582048000128;None;;;;;;;;5;;;;;;541.208019600017;None;None;None;[];541.208019600017;None;None;541.208019600017;None;0.592843599995831;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_131.2.wmv;happy;9.0;incongruent;130.0;150.0;163.9874412082805;;;;;0;33;33;33;;;;;;;544.2413798999914;None;545.8410101000045;546.1578264000127;547.2910084000032;547.3077118000074;549.2994880999904;None;9;0;549.2994880999904;None;;;;;;;;5;;;;;;550.8410860000004;None;None;None;[];550.8410860000004;None;None;550.8410860000004;None;0.8313870999845676;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;140.0;150.0;207.9053492649655;;;;;0;34;34;34;;;;;;;553.8660976999963;None;555.80749810001;556.1241225000122;557.2909542999987;557.3074518000067;559.7490888000175;None;9;0;559.7490888000175;None;;;;;;;;5;;;;;;561.3908318000031;None;None;None;[];561.3908318000031;None;None;561.3908318000031;None;0.8697837000072468;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;218.0520785974414;;;;;0;35;35;35;;;;;;;564.4072463000193;None;566.4572042000073;566.7739014000108;567.9073965999996;567.9245431000018;569.9072440000018;None;9;0;569.9072440000018;None;;;;;;;;5;;;;;;571.4572555999912;None;None;None;[];571.4572555999912;None;None;571.4572555999912;None;0.6156446999812033;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
