primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;key_resp.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
3.0;m;033_o_m_h_a.jpg;happy;9.0;happy_24.2ns.avi;happy;9.0;congruent;120.0;150.0;167.9423847659953;h_h;;;;;0;49;49;49;;;;;;;672.8705954998732;None;674.4703088998795;674.7869321999606;676.0037350999191;676.0203782999888;679.6535726999864;None;9;0;679.6535726999864;None;;;;;;;;7;;;;;;681.1952233000193;None;None;None;[];681.1952233000193;None;"['9', '9']";681.1952233000193;None;"[1.1933563998900354, 1.7212743998970836]";0.41491399984806776;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
1.0;f;021_o_f_s_a.jpg;sad;7.0;happy_61.2ns.avi;happy;9.0;incongruent;130.0;150.0;210.94664004826666;s_h;;;;;0;50;50;50;;;;;;;684.1952543999068;None;686.1532566999085;686.4699782000389;687.6448190000374;687.6866460999008;692.128100699978;None;8;0;692.128100699978;None;;;;;;;;5;;;;;;693.6780785000883;None;None;None;[];693.6780785000883;None;None;693.6780785000883;None;;0.5648084999993443;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
4.0;m;004_o_m_s_a.jpg;sad;7.0;sad_2.4ns.avi;sad;7.0;congruent;130.0;160.0;153.02079367163634;s_s;;;;;0;51;51;51;;;;;;;696.6946290999185;None;698.194498399971;698.5112135000527;699.6617006000597;699.6862975000404;707.6028527999297;None;7;0;707.6028527999297;None;;;;;;;;4;;;;;;709.1693106999155;None;None;None;[];709.1693106999155;None;['7'];709.1693106999155;None;[1.3471311000175774];0.5855416997801512;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_1.2ns.avi;happy;9.0;congruent;120.0;150.0;210.98946429383824;h_h;;;;;0;52;52;52;;;;;;;712.1693154999521;None;714.1688969999086;714.4856702000834;715.6441003999207;715.6607516999356;728.4104017000645;None;9;0;728.4104017000645;None;;;;;;;;6;;;;;;729.9602635998745;None;None;None;[];729.9602635998745;None;['9'];729.9602635998745;None;[0.9721610997803509];0.8979096000548452;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_52.2ns.avi;happy;9.0;incongruent;130.0;150.0;172.57202848318138;s_h;;;;;0;53;53;53;;;;;;;732.9601972000673;None;734.5933161999565;734.9099759999663;736.1105178999715;736.1351069998927;739.5932952000294;None;8;0;739.5932952000294;None;;;;;;;;5;;;;;;741.1432429999113;None;None;None;[];741.1432429999113;None;None;741.1432429999113;None;;0.8431933000683784;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
9.0;f;019_m_f_s_a.jpg;sad;7.0;happy_61.1ns.avi;happy;9.0;incongruent;130.0;150.0;181.3003220572762;s_h;;;;;0;54;54;54;;;;;;;744.1764060000423;None;745.9095938000828;746.2263265000656;747.4180495999753;747.4347035000101;754.7512425000314;None;8;0;754.7512425000314;None;;;;;;;;5;;;;;;756.309422600083;None;None;None;[];756.309422600083;None;None;756.309422600083;None;;1.0055006998591125;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_133.1.wmv;sad;7.0;incongruent;120.0;160.0;198.86251500867985;h_s;;;;;0;55;55;55;;;;;;;759.3257935000584;None;761.1923891999759;761.5090514998883;762.6342603000812;762.6508639999665;764.6425810998771;None;7;0;764.6425810998771;None;;;;;;;;4;;;;;;766.1924234000035;None;None;None;[];766.1924234000035;None;['7'];766.1924234000035;None;[1.0040329000912607];0.7857504999265075;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_128.2.wmv;sad;7.0;incongruent;120.0;160.0;206.10005857915363;h_s;;;;;0;56;56;56;;;;;;;769.1923718000762;None;771.1087879000697;771.4254862999078;772.5588652000297;772.5753297000192;774.5588177999016;None;7;0;774.5588177999016;None;;;;;;;;4;;;;;;776.1087293000892;None;None;None;[];776.1087293000892;None;['7'];776.1087293000892;None;[0.8875403001438826];0.6935382999945432;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
1.0;f;021_o_f_s_a.jpg;sad;7.0;sad_9.5ns.avi;sad;7.0;congruent;130.0;160.0;206.16642757875042;s_s;;;;;0;57;57;57;;;;;;;779.1087102000602;None;781.0333539999556;781.3502406000625;782.4916014000773;782.5083594000898;788.208304699976;None;7;0;788.208304699976;None;;;;;;;;3;;;;;;789.7581791998819;None;None;None;[];789.7581791998819;None;"['7', '7']";789.7581791998819;None;"[0.9501217999495566, 1.390154399909079]";0.6120670998934656;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
1.0;f;021_o_f_h_a.jpg;happy;9.0;happy_12.1ns.avi;happy;9.0;congruent;120.0;150.0;132.59080005900228;h_h;;;;;0;58;58;58;;;;;;;792.7666539000347;None;794.0996606999543;794.4163941000588;795.566412499873;795.5831047999673;803.1662546000443;None;9;0;803.1662546000443;None;;;;;;;;6;;;;;;804.7161095999181;None;None;None;[];804.7161095999181;None;['9'];804.7161095999181;None;[0.8000141000375152];0.5100497000385076;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
3.0;m;013_y_m_s_a.jpg;sad;7.0;happy_56.2ns.avi;happy;9.0;incongruent;130.0;150.0;163.39234110935848;s_h;;;;;0;59;59;59;;;;;;;807.7160215000622;None;809.2908238000236;809.607568099862;810.8323069000617;810.8491448999848;815.7659038999118;None;8;0;815.7659038999118;None;;;;;;;;5;;;;;;817.3157166999299;None;None;None;[];817.3157166999299;None;None;817.3157166999299;None;;0.6143164001405239;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;820.3406189000234;None;;;;;;
