primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
8.0;m;008_y_m_h_a.jpg;happy;9.0;sad_111.1.wmv;sad;7.0;incongruent;120.0;160.0;152.63076835312847;h_s;;;;;0;23;23;23;;;;;;;331.0581729000114;None;332.5330079000123;332.84964910001145;333.983401400008;334.0080472000118;335.9828961000021;None;7;0;0.8985245999938343;335.9828961000021;None;;;;;;;;5;;;;;;;337.53284780000104;None;None;None;[];337.53284780000104;None;None;;337.53284780000104;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_67.2ns.avi;sad;7.0;congruent;130.0;160.0;220.9892697323079;s_s;;;;;0;24;24;24;;;;;;;340.5578252000123;None;342.61605000001146;342.94131480000215;344.0827577000018;344.0993914999999;353.29075240000384;None;7;0;0.44699160000891425;353.29075240000384;None;;;;;;;;4;;;;;;;354.8406901999988;None;None;None;[];354.8406901999988;None;['7'];[0.2889560000039637];354.8406901999988;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_29.1ns.avi;happy;9.0;incongruent;130.0;150.0;120.0316142834122;s_h;;;;;0;25;25;25;;;;;;;357.84061280000606;None;359.04044680000516;359.35721800000465;360.4905926000065;360.5072038000071;363.1821108000004;None;8;0;1.2112625999870943;363.1821108000004;None;;;;;;;;6;;;;;;;364.72370230000524;None;None;None;[];364.72370230000524;None;['9'];[1.0696460999897681];364.72370230000524;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
6.0;m;016_y_m_s_a.jpg;sad;7.0;sad_8.3ns.avi;sad;7.0;congruent;130.0;160.0;152.85371098242734;s_s;;;;;0;26;26;26;;;;;;;367.723808499999;None;369.2152214000089;369.5318929000059;370.68183630000567;370.69859810000344;378.4232717999985;None;None;0;;378.4232717999985;None;;;;;;;;5;;;;;;;379.97308820000035;None;None;None;[];379.97308820000035;None;None;;379.97308820000035;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
6.0;m;016_y_m_h_a.jpg;happy;9.0;sad_114.1.wmv;sad;7.0;incongruent;120.0;160.0;136.20550699298644;h_s;;;;;0;27;27;27;;;;;;;383.0065285000019;None;384.36469100000977;384.68136180000147;385.8062513000041;385.82291280000936;387.8146162000048;None;7;0;0.4349402999941958;387.8146162000048;None;;;;;;;;4;;;;;;;389.3645264000079;None;None;None;[];389.3645264000079;None;"['7', '7']";"[0.47683290000713896, 2.444717899998068]";389.3645264000079;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;215.61964028550614;s_h;;;;;0;28;28;28;;;;;;;392.36440330000187;None;394.364387499998;394.68105880000803;395.80613260000246;395.8227129000006;397.81437860000005;None;7;0;1.6189875999989454;397.81437860000005;None;;;;;;;;4;;;;;;;399.65597900000284;None;None;None;[];399.65597900000284;None;['7'];[1.4975362000113819];399.65597900000284;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
6.0;m;016_y_m_h_a.jpg;happy;9.0;happy_9.2ns.avi;happy;9.0;congruent;120.0;150.0;130.52042428082717;h_h;;;;;0;29;29;29;;;;;;;402.65599550001207;None;403.94732250001107;404.26412269999855;405.3975477000058;405.4141617999994;411.32224910000514;None;9;0;0.7351350000099046;411.32224910000514;None;;;;;;;;5;;;;;;;412.87221590000263;None;None;None;[];412.87221590000263;None;None;;412.87221590000263;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
0.0;f;040_y_f_s_a.jpg;sad;7.0;happy_127.3.wmv;happy;9.0;incongruent;130.0;150.0;131.7195455720239;s_h;;;;;0;30;30;30;;;;;;;415.88871640000434;None;417.18863710000005;417.5053789000085;418.6304506000015;418.6470840000111;420.70533660000365;None;9;0;0.47234220000973437;420.70533660000365;None;;;;;;;;6;;;;;;;422.2637007000012;None;None;None;[];422.2637007000012;None;['9'];[0.4097864999930607];422.2637007000012;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
0.0;f;030_o_f_s_a.jpg;sad;7.0;happy_125.3.wmv;happy;9.0;incongruent;130.0;150.0;220.51454909128134;s_h;;;;;0;31;31;31;;;;;;;425.2635009000078;None;427.31346610000764;427.63000100001227;428.76402300001064;428.78837020001083;430.76331170000776;None;8;0;1.318119100003969;430.76331170000776;None;;;;;;;;5;;;;;;;432.32994280000275;None;None;None;[];432.32994280000275;None;None;;432.32994280000275;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_64.3ns.avi;sad;7.0;congruent;130.0;160.0;165.78667874766072;s_s;;;;;0;32;32;32;;;;;;;435.3546931000019;None;436.946520700003;437.2630683000025;438.4297768000106;438.4464517000015;443.3962797999993;None;7;0;0.7011178000102518;443.3962797999993;None;;;;;;;;3;;;;;;;444.9627913000004;None;None;None;[];444.9627913000004;None;"['7', '7']";"[0.27865760000713635, 0.6308220000064466]";444.9627913000004;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
