primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
6.0;m;016_y_m_h_a.jpg;happy;9.0;happy_9.2ns.avi;happy;9.0;congruent;120.0;150.0;130.52042428082717;h_h;;;;;0;29;29;29;;;;;;;393.08713369996985;None;394.3782466999837;394.69499799999176;395.9116953999619;395.92835229996126;401.75317159999395;None;9;0;401.75317159999395;None;;;;;;;;9;;;;0.49093699996592477;;;;403.31206829997245;None;None;None;[];403.31206829997245;None;"['9', '9', '9', '9']";"[0.4040800000075251, 0.7323045000084676, 1.0601957999751903, 1.6120027999859303]";403.31206829997245;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
0.0;f;040_y_f_s_a.jpg;sad;7.0;happy_127.3.wmv;happy;9.0;incongruent;130.0;150.0;131.7195455720239;s_h;;;;;0;30;30;30;;;;;;;406.3031050999998;None;407.60286449996056;407.9195993000176;409.0447053000098;409.06131819996517;411.11969469999894;None;9;0;411.11969469999894;None;;;;;;;;7;;;;0.6204090000246651;;;;412.669519099989;None;None;None;[];412.669519099989;None;"['9', '9']";"[0.41470849997131154, 0.8228493999922648]";412.669519099989;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
0.0;f;030_o_f_s_a.jpg;sad;7.0;happy_125.3.wmv;happy;9.0;incongruent;130.0;150.0;220.51454909128134;s_h;;;;;0;31;31;31;;;;;;;415.67788769997424;None;417.7275130999624;418.044296499982;419.177727399976;419.19427949999226;421.1776673999848;None;9;0;421.1776673999848;None;;;;;;;;7;;;;0.6185002999845892;;;;422.72763380000833;None;None;None;[];422.72763380000833;None;"['9', '9']";"[0.3565952000208199, 0.7805759999901056]";422.72763380000833;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_64.3ns.avi;sad;7.0;congruent;130.0;160.0;165.78667874766072;s_s;;;;;0;32;32;32;;;;;;;425.73572210001294;None;427.3356846999959;427.65259969996987;428.8523419999983;428.8689878999721;433.78648700000485;None;None;0;433.78648700000485;None;;;;;;;;4;;;;;;;;435.5359950999846;None;None;None;[];435.5359950999846;None;"['7', '7']";"[0.0763071000110358, 0.7802972000208683]";435.5359950999846;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
3.0;m;013_y_m_s_a.jpg;sad;7.0;sad_7.7ns.avi;sad;7.0;congruent;130.0;160.0;196.24182255763262;s_s;;;;;0;33;33;33;;;;;;;438.54386979999254;None;440.3851573999855;440.7024218000006;441.8517986999941;441.86865899997065;447.83520410000347;None;7;0;447.83520410000347;None;;;;;;;;3;;;;1.0569897000095807;;;;449.3850849000155;None;None;None;[];449.3850849000155;None;"['7', '7']";"[0.5472286000149325, 0.9074270999990404]";449.3850849000155;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
3.0;m;013_y_m_h_a.jpg;happy;9.0;happy_9.1ns.avi;happy;9.0;congruent;120.0;150.0;165.1890303600433;h_h;;;;;0;34;34;34;;;;;;;452.3933896999806;None;453.9765119999647;454.2932841000147;455.45988929999294;455.4765873000142;458.65145850001136;None;9;0;458.65145850001136;None;;;;;;;;8;;;;0.4488182000350207;;;;460.201447999978;None;None;None;[];460.201447999978;None;"['9', '9', '9', '9']";"[0.5068613999756053, 1.0109215999837033, 1.3466610999894328, 1.7548661999753676]";460.201447999978;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
4.0;m;004_o_m_h_a.jpg;happy;9.0;sad_95.1ns.avi;sad;7.0;incongruent;120.0;160.0;152.68270002069931;h_s;;;;;0;35;35;35;;;;;;;463.2097349999822;None;464.7183987000026;465.0347720999853;466.25966229999904;466.2762163999723;474.9597592999926;None;7;0;474.9597592999926;None;;;;;;;;3;;;;0.7242889999761246;;;;476.5259384000092;None;None;None;[];476.5259384000092;None;"['7', '7']";"[0.49438930000178516, 0.870229099993594]";476.5259384000092;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
3.0;m;013_y_m_h_a.jpg;happy;9.0;sad_113.2.wmv;sad;7.0;incongruent;120.0;160.0;217.4973891947951;h_s;;;;;0;36;36;36;;;;;;;479.5258693000069;None;481.5506133000017;481.86744999996154;483.00074789999053;483.01774719997775;485.00133539998205;None;8;0;485.00133539998205;None;;;;;;;;4;;;;1.0428920999984257;;;;486.550617699977;None;None;None;[];486.550617699977;None;['7'];[0.6215520999976434];486.550617699977;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_25.1ns.avi;happy;9.0;congruent;120.0;150.0;216.63044503818386;h_h;;;;;0;37;37;37;;;;;;;489.5507373000146;None;491.5587402000092;491.8754555999767;493.04271639999934;493.0591096999706;496.7006259000045;None;9;0;496.7006259000045;None;;;;;;;;7;;;;0.5755816000164486;;;;498.25865609996254;None;None;None;[];498.25865609996254;None;"['9', '9']";"[0.5054040999966674, 1.049507200019434]";498.25865609996254;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_131.2.wmv;happy;9.0;incongruent;130.0;150.0;181.38407540847405;s_h;;;;;0;38;38;38;;;;;;;501.26692159997765;None;502.98337410000386;503.3000428999658;504.4332695999765;504.450136200001;506.4334317999892;None;9;0;506.4334317999892;None;;;;;;;;8;;;;0.6188263999647461;;;;507.9833002999658;None;None;None;[];507.9833002999658;None;"['9', '9', '9']";"[0.42100290005328134, 0.8370227999985218, 2.340973300044425]";507.9833002999658;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
