ID,Age,Gender,rt
sub-125,26.0,1.0,0.6599845666671171
sub-126,18.0,1.0,0.601603306666948
sub-127,22.0,1.0,0.4928599533236896
sub-007,41.0,2.0,0.5736683090852405
sub-008,39.0,2.0,0.8155792142996299
sub-009,22.0,1.0,0.6502972999979437
sub-020,21.0,2.0,0.7731465399614535
sub-035,24.0,1.0,0.5915358499790143
sub-036,32.0,1.0,0.6858552866731771
sub-037,27.0,2.0,1.1753307307685297
sub-038,24.0,2.0,0.7570416466798633
sub-039,20.0,2.0,1.20336106667916
sub-042,21.0,2.0,0.7310940357149646
sub-044,22.0,1.0,0.6142310199968051
sub-048,21.0,1.0,0.6071131799835712
sub-049,52.0,1.0,0.8439767799961071
sub-061,35.0,1.0,0.5601445866663805
sub-064,30.0,2.0,0.7167686857033654
sub-065,22.0,2.0,0.8011873800152292
sub-066,19.0,2.0,0.7974177785716685
sub-072,20.0,2.0,0.5300939266259471
sub-075,25.0,1.0,1.0983592666685582
sub-076,23.0,2.0,0.4788695600077821
sub-077,22.0,2.0,0.9238447799968222
sub-081,25.0,1.0,0.8655754200027634
sub-082,27.0,1.0,0.4587169600185007
sub-084,34.0,1.0,0.8388232599982681
sub-087,22.0,1.0,0.5270761266661187
sub-092,43.0,1.0,0.6339870266461124
sub-094,28.0,2.0,0.6438569857938481
sub-095,21.0,1.0,0.5219695533470561
sub-097,21.0,2.0,0.415830850135535
sub-098,34.0,1.0,0.6423185933332812
sub-100,26.0,2.0,0.8382790933332823
sub-102,22.0,2.0,0.8181581400334835
sub-106,21.0,1.0,0.7429315071203746
sub-108,29.0,2.0,0.6951734533378233
sub-109,24.0,2.0,0.6995729856924819
sub-110,30.0,2.0,0.4188501733332183
sub-111,29.0,2.0,0.5563759200042113
sub-113,23.0,2.0,0.7550336466675314
sub-114,23.0,1.0,1.0830546923076467
sub-115,22.0,1.0,0.7802851333321693
sub-116,22.0,2.0,1.0109162266676626
sub-118,18.0,1.0,0.6869234400141674
sub-121,23.0,1.0,0.676299406667628
sub-122,22.0,1.0,0.5517178600006446
sub-124,19.0,1.0,0.5502284266675512
sub-128,22.0,2.0,0.5669435000008283
sub-129,22.0,1.0,0.5287379866776367
sub-130,20.0,1.0,0.619436806673184
sub-131,22.0,2.0,0.8156218555458408
sub-010,23.0,2.0,0.9562205636360556
sub-011,19.0,1.0,0.5692355461517133
sub-014,27.0,2.0,0.6214353231211694
sub-015,22.0,1.0,0.7666031363716518
sub-018,26.0,2.0,0.7376645363613286
sub-019,28.0,2.0,0.6687277182090011
sub-022,29.0,2.0,0.5712846928425799
sub-024,26.0,2.0,0.7557186499637153
sub-025,22.0,1.0,0.3100963333272375
sub-027,22.0,1.0,0.9098615500377492
sub-028,32.0,1.0,0.7849834733176977
sub-029,25.0,1.0,0.7122211642729651
sub-030,23.0,1.0,0.8904658777788023
sub-031,32.0,2.0,0.6510033285760853
sub-032,22.0,2.0,0.6979164466417084
sub-033,26.0,2.0,0.9007133666891605
sub-041,26.0,2.0,0.8464692999841645
sub-043,21.0,1.0,0.8511658266691181
sub-045,25.0,2.0,0.7065253142832911
sub-046,33.0,1.0,0.6917625000157083
sub-047,25.0,1.0,0.7739240363642405
sub-050,30.0,1.0,0.8767087833063366
sub-051,18.0,1.0,0.9165946750435978
sub-052,30.0,2.0,0.6030854200003279
sub-053,38.0,1.0,0.957731178562556
sub-054,21.0,1.0,0.6703577071428819
sub-056,23.0,1.0,0.947655815384888
sub-057,27.0,1.0,0.9810438300006352
sub-059,44.0,1.0,0.8173526363643759
sub-062,36.0,1.0,0.7722888769225952
sub-068,22.0,1.0,0.5731572922892295
sub-069,30.0,1.0,0.7161438154020848
sub-070,21.0,1.0,0.7916947200195864
sub-071,21.0,1.0,0.7757780642548043
sub-073,28.0,2.0,0.9359704417098934
sub-074,21.0,2.0,1.1509423636069351
sub-079,27.0,2.0,0.7230930461709459
sub-080,33.0,2.0,0.4277841428660655
sub-083,36.0,1.0,0.7243562538463336
sub-085,23.0,1.0,0.6462922083252729
sub-086,24.0,2.0,0.5625372785808784
sub-089,25.0,1.0,0.9382659214482244
sub-090,25.0,1.0,0.9289575181901456
sub-091,41.0,1.0,0.8226699857207548
sub-093,24.0,1.0,0.8518962199799717
sub-096,22.0,2.0,0.6742406533410151
sub-101,26.0,2.0,0.5241000428629506
sub-103,18.0,1.0,0.9909083363652992
sub-105,24.0,2.0,0.6375539733252178
sub-123,19.0,2.0,0.6031857142858955
sub-125,26.0,1.0,0.8102102200073811
sub-126,18.0,1.0,0.6863931071295936
sub-127,22.0,1.0,0.614983128566694
sub-007,41.0,2.0,0.6880387692251063
sub-008,39.0,2.0,0.914422171431527
sub-009,22.0,1.0,0.8914688416674229
sub-020,21.0,2.0,0.867056942860862
sub-035,24.0,1.0,0.7883342785561192
sub-036,32.0,1.0,0.7131411999919995
sub-037,27.0,2.0,1.0106437799928245
sub-038,24.0,2.0,0.8272892363602296
sub-039,20.0,2.0,0.5985838000196964
sub-042,21.0,2.0,0.7003825250018659
sub-044,22.0,1.0,0.8656459000000419
sub-048,21.0,1.0,0.7194795749965124
sub-049,52.0,1.0,0.9146868923607354
sub-061,35.0,1.0,0.7942147599998861
sub-064,30.0,2.0,1.025092400007204
sub-065,22.0,2.0,0.913577153848914
sub-066,19.0,2.0,0.9471763817974452
sub-072,20.0,2.0,0.5745478933366637
sub-075,25.0,1.0,1.0826980333222311
sub-076,23.0,2.0,0.8206501266763856
sub-077,22.0,2.0,1.02611186663853
sub-081,25.0,1.0,0.8778796538065833
sub-082,27.0,1.0,0.731963438501295
sub-084,34.0,1.0,0.8333361571401058
sub-087,22.0,1.0,0.6476201307512104
sub-092,43.0,1.0,0.8177755538445826
sub-094,28.0,2.0,0.7956579334102571
sub-095,21.0,1.0,0.6499234466968725
sub-097,21.0,2.0,0.9645546001071732
sub-098,34.0,1.0,0.7833575666700199
sub-100,26.0,2.0,0.8848977363636963
sub-102,22.0,2.0,0.7396443999605253
sub-106,21.0,1.0,0.8211035091027786
sub-108,29.0,2.0,0.9440191538395504
sub-109,24.0,2.0,0.7022864691769848
sub-110,30.0,2.0,0.4784441666664255
sub-111,29.0,2.0,0.6928459153904651
sub-113,23.0,2.0,1.0585966999978365
sub-114,23.0,1.0,1.0177779699999974
sub-115,22.0,1.0,0.6665953615380343
sub-116,22.0,2.0,1.1128000615236278
sub-118,18.0,1.0,0.8115605583346527
sub-121,23.0,1.0,0.9054904066647091
sub-122,22.0,1.0,0.8677565642854981
sub-124,19.0,1.0,0.6324919666609882
sub-128,22.0,2.0,0.7116253363598265
sub-129,22.0,1.0,0.5707022785874349
sub-130,20.0,1.0,0.9343987071354476
sub-131,22.0,2.0,0.7987921000021743
sub-010,23.0,2.0,0.6420439615456137
sub-011,19.0,1.0,0.5540013785752568
sub-014,27.0,2.0,0.7378319065862645
sub-015,22.0,1.0,0.7337194230729858
sub-018,26.0,2.0,0.6331440866614382
sub-019,28.0,2.0,0.6694066142995975
sub-022,29.0,2.0,0.5289422500063665
sub-024,26.0,2.0,0.7499501199927181
sub-025,22.0,1.0,0.3305819333375742
sub-027,22.0,1.0,0.7019343636718325
sub-028,32.0,1.0,0.8964215999973627
sub-029,25.0,1.0,0.6694931214109862
sub-030,23.0,1.0,0.7475563071399977
sub-031,32.0,2.0,0.5837053666512172
sub-032,22.0,2.0,0.6402496461434146
sub-033,26.0,2.0,0.8605134154025179
sub-041,26.0,2.0,0.6549259066892167
sub-043,21.0,1.0,0.6895268307774901
sub-045,25.0,2.0,0.6177678533286477
sub-046,33.0,1.0,0.5971714866580442
sub-047,25.0,1.0,0.6386667142838373
sub-050,30.0,1.0,0.769538018132814
sub-051,18.0,1.0,0.8352341000169802
sub-052,30.0,2.0,0.6195662466634531
sub-053,38.0,1.0,0.7683930071237098
sub-054,21.0,1.0,0.4863459066665807
sub-056,23.0,1.0,0.954503207151512
sub-057,27.0,1.0,0.9629527636365808
sub-059,44.0,1.0,0.6636616799999805
sub-062,36.0,1.0,0.5008229700004451
sub-068,22.0,1.0,0.5057951266877353
sub-069,30.0,1.0,0.5506284000252241
sub-070,21.0,1.0,1.0287870200350882
sub-071,21.0,1.0,0.8791431066890557
sub-073,28.0,2.0,0.9403574499301612
sub-074,21.0,2.0,0.9491494832327588
sub-079,27.0,2.0,0.8223395066491018
sub-080,33.0,2.0,0.4226136066485197
sub-083,36.0,1.0,0.6231087846323274
sub-085,23.0,1.0,0.6109399538478241
sub-086,24.0,2.0,0.4429973066629221
sub-089,25.0,1.0,0.9665695866880316
sub-090,25.0,1.0,0.7361710214920875
sub-091,41.0,1.0,0.8349309428761315
sub-093,24.0,1.0,0.7855505732819438
sub-096,22.0,2.0,0.5493791733092318
sub-101,26.0,2.0,0.50705178664842
sub-103,18.0,1.0,0.8656388500031815
sub-105,24.0,2.0,0.4468503800220788
sub-123,19.0,2.0,0.6619838933334298
sub-125,26.0,1.0,0.5997292199870572
sub-126,18.0,1.0,0.718743858335074
sub-127,22.0,1.0,0.4429694357427901
sub-007,41.0,2.0,0.5944254399975761
sub-008,39.0,2.0,0.8792796399832393
sub-009,22.0,1.0,0.8975517399987438
sub-020,21.0,2.0,0.8271533285816466
sub-035,24.0,1.0,0.6608943400128434
sub-036,32.0,1.0,0.7913893800073614
sub-037,27.0,2.0,0.967729783335623
sub-038,24.0,2.0,0.881101942829056
sub-039,20.0,2.0,1.430938400095329
sub-042,21.0,2.0,0.5564398200037733
sub-044,22.0,1.0,0.8497750461549283
sub-048,21.0,1.0,0.7605365642812103
sub-049,52.0,1.0,0.923709913327669
sub-061,35.0,1.0,0.6288929866668089
sub-064,30.0,2.0,0.8374642214122494
sub-065,22.0,2.0,0.8008008999944044
sub-066,19.0,2.0,0.7539734928702403
sub-072,20.0,2.0,0.5141099071063634
sub-075,25.0,1.0,0.904637142862027
sub-076,23.0,2.0,0.4496710733394138
sub-077,22.0,2.0,0.8639164615350847
sub-081,25.0,1.0,0.7928794571364831
sub-082,27.0,1.0,0.4629608600555609
sub-084,34.0,1.0,0.8434237333286243
sub-087,22.0,1.0,0.6595837399751568
sub-092,43.0,1.0,0.6060541933091979
sub-094,28.0,2.0,0.6149844533453385
sub-095,21.0,1.0,0.5438148799973229
sub-097,21.0,2.0,0.533024685789964
sub-098,34.0,1.0,0.6982466333344443
sub-100,26.0,2.0,0.8307686466664259
sub-102,22.0,2.0,0.5988043998368084
sub-106,21.0,1.0,0.7358963933230067
sub-108,29.0,2.0,0.8048981142928824
sub-109,24.0,2.0,0.8359577857357051
sub-110,30.0,2.0,0.4047961400000834
sub-111,29.0,2.0,0.5839390666573309
sub-113,23.0,2.0,0.8597011230774044
sub-114,23.0,1.0,1.0274406363636528
sub-115,22.0,1.0,0.7102636333341555
sub-116,22.0,2.0,1.0181575461398238
sub-118,18.0,1.0,0.6428888933345055
sub-121,23.0,1.0,0.7248884733339461
sub-122,22.0,1.0,0.6209159866669022
sub-124,19.0,1.0,0.6301556999989164
sub-128,22.0,2.0,0.8334159571386408
sub-129,22.0,1.0,0.6733062133348237
sub-130,20.0,1.0,0.6544497428611586
sub-131,22.0,2.0,0.9014264333285004
sub-010,23.0,2.0,0.7627605250042203
sub-011,19.0,1.0,0.5878993533338265
sub-014,27.0,2.0,0.696545866680228
sub-015,22.0,1.0,0.7273365000395903
sub-018,26.0,2.0,0.7339622999923969
sub-019,28.0,2.0,0.6744588818401098
sub-022,29.0,2.0,0.4321020466585954
sub-024,26.0,2.0,0.6027656333055347
sub-025,22.0,1.0,1.2729091999935918
sub-027,22.0,1.0,0.5800630857037115
sub-028,32.0,1.0,0.6674802199782183
sub-029,25.0,1.0,0.6076305866551895
sub-030,23.0,1.0,0.7602709266657863
sub-031,32.0,2.0,0.5015503856952169
sub-032,22.0,2.0,0.6657111428711298
sub-033,26.0,2.0,0.8486205714122791
sub-041,26.0,2.0,0.6972717466764152
sub-043,21.0,1.0,0.5766477600050469
sub-045,25.0,2.0,0.530248406669125
sub-046,33.0,1.0,0.490571738471492
sub-047,25.0,1.0,0.6776278266605611
sub-050,30.0,1.0,0.5659797615192544
sub-051,18.0,1.0,0.7137312599768241
sub-052,30.0,2.0,0.6150676933320938
sub-053,38.0,1.0,0.7436780799956372
sub-054,21.0,1.0,0.5881312428571489
sub-056,23.0,1.0,0.8799239076906815
sub-057,27.0,1.0,0.9346857272734764
sub-059,44.0,1.0,0.5974890599994979
sub-062,36.0,1.0,0.6462956533340427
sub-068,22.0,1.0,0.4410979666747153
sub-069,30.0,1.0,0.5306154399955024
sub-070,21.0,1.0,0.7453506928535977
sub-071,21.0,1.0,0.6428997466961542
sub-073,28.0,2.0,0.8306410001047576
sub-074,21.0,2.0,0.7530447266995907
sub-079,27.0,2.0,0.7431746499995435
sub-080,33.0,2.0,0.3627987500180357
sub-083,36.0,1.0,0.6493931133144846
sub-085,23.0,1.0,0.5979179466725327
sub-086,24.0,2.0,0.486976233338161
sub-089,25.0,1.0,1.001165523050496
sub-090,25.0,1.0,0.8519634374824818
sub-091,41.0,1.0,0.901315115374298
sub-093,24.0,1.0,0.5735811307094991
sub-096,22.0,2.0,0.5462005533122768
sub-101,26.0,2.0,0.4608379666615898
sub-103,18.0,1.0,1.0434055750083644
sub-105,24.0,2.0,0.5725432666794708
sub-123,19.0,2.0,0.5709690533355266
sub-125,26.0,1.0,0.8588891533358644
sub-126,18.0,1.0,0.6812625076854602
sub-127,22.0,1.0,0.5055596199895566
sub-007,41.0,2.0,0.6961081818153616
sub-008,39.0,2.0,0.9368798999930732
sub-009,22.0,1.0,0.8279676749989449
sub-020,21.0,2.0,0.8135964250153241
sub-035,24.0,1.0,0.7201335933990777
sub-036,32.0,1.0,0.6794142142877847
sub-037,27.0,2.0,0.995158284616012
sub-038,24.0,2.0,0.646066513331607
sub-039,20.0,2.0,0.9673872001003474
sub-042,21.0,2.0,0.6729936733279221
sub-044,22.0,1.0,0.6750796714248801
sub-048,21.0,1.0,0.5705584230958126
sub-049,52.0,1.0,0.8561860200638572
sub-061,35.0,1.0,0.7328028428569918
sub-064,30.0,2.0,0.6678274785517715
sub-065,22.0,2.0,0.8769771769069709
sub-066,19.0,2.0,0.8224068133315693
sub-072,20.0,2.0,0.4834056071205331
sub-075,25.0,1.0,0.9633719692311178
sub-076,23.0,2.0,0.539100353322768
sub-077,22.0,2.0,0.8358624714227127
sub-081,25.0,1.0,0.864915215356562
sub-082,27.0,1.0,0.4111565733483682
sub-084,34.0,1.0,0.6710768357172908
sub-087,22.0,1.0,0.449743969222674
sub-092,43.0,1.0,0.5998095866447936
sub-094,28.0,2.0,0.5656592332758009
sub-095,21.0,1.0,0.5326303922965263
sub-097,21.0,2.0,0.7540029501542449
sub-098,34.0,1.0,0.5679284666669749
sub-100,26.0,2.0,0.7768368200001229
sub-102,22.0,2.0,0.7569547250168398
sub-106,21.0,1.0,0.7268593400173509
sub-108,29.0,2.0,0.6769419000151434
sub-109,24.0,2.0,0.7034003133730342
sub-110,30.0,2.0,0.4561224230771516
sub-111,29.0,2.0,0.5383348199849327
sub-113,23.0,2.0,0.7272904999969926
sub-114,23.0,1.0,1.0652414272728328
sub-115,22.0,1.0,0.6189405399995546
sub-116,22.0,2.0,1.1126252571287163
sub-118,18.0,1.0,0.7422360199969262
sub-121,23.0,1.0,0.6347853066710134
sub-122,22.0,1.0,0.6694976083332828
sub-124,19.0,1.0,0.4766313199982202
sub-128,22.0,2.0,0.5825000357123956
sub-129,22.0,1.0,0.5178004733364409
sub-130,20.0,1.0,0.7570165266632103
sub-131,22.0,2.0,0.8196019999973941
