primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
6.0;m;016_y_m_h_a.jpg;happy;9.0;sad_114.1.wmv;sad;7.0;incongruent;120.0;160.0;196.03539454983184;;;;;0;39;39;39;;;;;;;508.8916115000611;None;510.7496583000757;511.06646250002086;512.1996215999825;512.2251520000864;514.199674100033;None;None;0;514.199674100033;None;;;;;;;;5;;;;;;516.1078476000112;None;None;None;[];516.1078476000112;None;None;516.1078476000112;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
6.0;m;016_y_m_s_a.jpg;sad;7.0;sad_8.3ns.avi;sad;7.0;congruent;130.0;160.0;139.87174075953956;;;;;0;40;40;40;;;;;;;518.1328882999951;None;519.5328278000234;519.8496720000403;521.0162636000896;521.0329362000339;528.7410040000686;None;None;0;528.7410040000686;None;;;;;;;;5;;;;;;530.2912840000354;None;None;None;[];530.2912840000354;None;None;530.2912840000354;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;163.89298117292617;;;;;0;41;41;41;;;;;;;532.3075082000578;None;533.8823921000585;534.1995989000425;535.349152800045;535.3657988000195;538.4991046000505;None;None;0;538.4991046000505;None;;;;;;;;5;;;;;;540.0489477000665;None;None;None;[];540.0489477000665;None;None;540.0489477000665;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
3.0;m;013_y_m_h_a.jpg;happy;9.0;happy_9.1ns.avi;happy;9.0;congruent;140.0;150.0;128.37211756912527;;;;;0;42;42;42;;;;;;;542.07386210002;None;543.3570730000501;543.6738758999854;544.8405145000434;544.8572977000149;548.0488375000423;None;None;0;548.0488375000423;None;;;;;;;;5;;;;;;549.6070738000562;None;None;None;[];549.6070738000562;None;None;549.6070738000562;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
7.0;m;027_o_m_h_a.jpg;happy;9.0;sad_117.1.wmv;sad;7.0;incongruent;120.0;160.0;163.19466748508617;;;;;0;43;43;43;;;;;;;551.623564700014;None;553.215103500057;553.5318740000948;554.6569852000102;554.673531300039;556.6652512000874;None;None;0;556.6652512000874;None;;;;;;;;5;;;;;;558.2151680000825;None;None;None;[];558.2151680000825;None;None;558.2151680000825;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
4.0;m;004_o_m_h_a.jpg;happy;9.0;sad_95.1ns.avi;sad;7.0;incongruent;120.0;160.0;162.95060606286506;;;;;0;44;44;44;;;;;;;560.2316294000484;None;561.8231878000079;562.1399298000615;563.3732370000798;563.3899893000489;572.0646983000915;None;None;0;572.0646983000915;None;;;;;;;;5;;;;;;573.6145014000358;None;None;None;[];573.6145014000358;None;None;573.6145014000358;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_128.2.wmv;sad;7.0;incongruent;120.0;160.0;121.98396994352893;;;;;0;45;45;45;;;;;;;575.6312270000344;None;576.8727787000826;577.1895006999839;578.3396242000163;578.356159200077;580.3317819000222;None;None;0;580.3317819000222;None;;;;;;;;5;;;;;;581.922562199994;None;None;None;[];581.922562199994;None;None;581.922562199994;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;195.60264978061832;;;;;0;46;46;46;;;;;;;583.9392544000875;None;585.7891053000931;586.1058546000859;587.2309106000466;587.2474600999849;589.239065800095;None;None;0;589.239065800095;None;;;;;;;;5;;;;;;590.7889367000898;None;None;None;[];590.7889367000898;None;None;590.7889367000898;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_29.1ns.avi;happy;9.0;incongruent;130.0;150.0;212.92407054126133;;;;;0;47;47;47;;;;;;;592.8055719999829;None;594.7888456000946;595.1056073000655;596.2476614000043;596.2641774000367;598.9306059000082;None;None;0;598.9306059000082;None;;;;;;;;5;;;;;;600.4808548000874;None;None;None;[];600.4808548000874;None;None;600.4808548000874;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
0.0;f;040_y_f_h_a.jpg;happy;9.0;happy_24.3ns.avi;happy;9.0;congruent;140.0;150.0;190.23859628619445;;;;;0;48;48;48;;;;;;;602.5053761000745;None;604.2969841000158;604.6136063000886;605.8218143000267;605.8386630000314;607.6718425999861;None;None;0;607.6718425999861;None;;;;;;;;5;;;;;;609.2217423000839;None;None;None;[];609.2217423000839;None;None;609.2217423000839;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
3.0;m;033_o_m_h_a.jpg;happy;9.0;happy_24.2ns.avi;happy;9.0;congruent;140.0;150.0;127.28107088671867;;;;;0;49;49;49;;;;;;;611.2550019000191;None;612.5216950000031;612.8383740000427;613.9968404000392;614.0134529999923;617.6965557000367;None;None;0;617.6965557000367;None;;;;;;;;5;;;;;;619.2464236000087;None;None;None;[];619.2464236000087;None;None;619.2464236000087;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
9.0;f;019_m_f_s_a.jpg;sad;7.0;happy_61.1ns.avi;happy;9.0;incongruent;130.0;150.0;190.9434091532566;;;;;0;50;50;50;;;;;;;621.263148099999;None;623.0963724000612;623.4130701000104;624.6213006000035;624.6378755000187;631.9379528000718;None;None;0;631.9379528000718;None;;;;;;;;5;;;;;;633.4881138000637;None;None;None;[];633.4881138000637;None;None;633.4881138000637;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;178.10396226647933;;;;;0;51;51;51;;;;;;;635.5211347000441;None;637.2459206000203;637.562646000064;638.695791300037;638.7214073000941;640.7627580000553;None;None;0;640.7627580000553;None;;;;;;;;5;;;;;;642.3126143000554;None;None;None;[];642.3126143000554;None;None;642.3126143000554;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_136.1.wmv;sad;7.0;incongruent;120.0;160.0;206.04367658109783;;;;;0;52;52;52;;;;;;;644.3290147000225;None;646.2706555000041;646.5874261000426;647.7214054000797;647.7457547000377;649.7207842000062;None;None;0;649.7207842000062;None;;;;;;;;5;;;;;;651.2707812000299;None;None;None;[];651.2707812000299;None;None;651.2707812000299;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
6.0;m;016_y_m_h_a.jpg;happy;9.0;happy_9.2ns.avi;happy;9.0;congruent;140.0;150.0;136.52220806776708;;;;;0;53;53;53;;;;;;;653.2954372999957;None;654.6625431000721;654.9789642000105;656.1456181000685;656.1624539000914;662.0370890999911;None;None;0;662.0370890999911;None;;;;;;;;5;;;;;;663.645128800068;None;None;None;[];663.645128800068;None;None;663.645128800068;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
9.0;f;019_m_f_h_a.jpg;happy;9.0;happy_10.1ns.avi;happy;9.0;congruent;140.0;150.0;180.35091595488527;;;;;0;54;54;54;;;;;;;665.6702417000197;None;667.4116940000094;667.7288005000446;668.9035070000682;668.9201075000456;676.3115116000408;None;None;0;676.3115116000408;None;;;;;;;;5;;;;;;677.8615814000368;None;None;None;[];677.8615814000368;None;None;677.8615814000368;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
8.0;f;028_y_f_s_a.jpg;sad;7.0;happy_122.3.wmv;happy;9.0;incongruent;130.0;150.0;204.27932588393085;;;;;0;55;55;55;;;;;;;679.894815800013;None;681.8196761000436;682.1448866000865;683.2779536000453;683.2947183999931;685.2696174000157;None;None;0;685.2696174000157;None;;;;;;;;5;;;;;;686.8201209000545;None;None;None;[];686.8201209000545;None;None;686.8201209000545;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
3.0;m;013_y_m_s_a.jpg;sad;7.0;sad_7.7ns.avi;sad;7.0;congruent;130.0;160.0;192.40728800739942;;;;;0;56;56;56;;;;;;;688.8359739000443;None;690.6609717999818;690.9776906000916;692.1444832000416;692.1611497000558;698.1192291000625;None;None;0;698.1192291000625;None;;;;;;;;5;;;;;;699.6691276000347;None;None;None;[];699.6691276000347;None;None;699.6691276000347;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
3.0;m;013_y_m_h_a.jpg;happy;9.0;sad_113.2.wmv;sad;7.0;incongruent;120.0;160.0;219.6544115751568;;;;;0;57;57;57;;;;;;;701.6856792999897;None;703.752249800018;704.0690863000927;705.2113435000647;705.2359443000751;707.202392200008;None;None;0;707.202392200008;None;;;;;;;;5;;;;;;708.7524519000435;None;None;None;[];708.7524519000435;None;None;708.7524519000435;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_25.1ns.avi;happy;9.0;congruent;140.0;150.0;237.98255695511958;;;;;0;58;58;58;;;;;;;710.777005800046;None;712.9937171000056;713.3103646000382;714.4687913000816;714.485391800059;718.1354022000451;None;None;0;718.1354022000451;None;;;;;;;;5;;;;;;719.693544400041;None;None;None;[];719.693544400041;None;None;719.693544400041;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;231.85538291836468;;;;;0;59;59;59;;;;;;;721.7100238000276;None;723.8599937000545;724.1767203999916;725.3101748999907;725.326734000002;727.310151200043;None;None;0;727.310151200043;None;;;;;;;;5;;;;;;728.8600407000631;None;None;None;[];728.8600407000631;None;None;728.8600407000631;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;730.8849367999937;None;;;;;;
