0.180765	0.500000	1
-0.046164	-4.500000	1
0.031899	0.500000	1
-0.131952	-4.500000	2
-0.075407	-0.500000	2
0.144856	7.500000	2
-0.060731	-2.500000	2
-0.026130	18.500000	1
-0.097889	-3.500000	2
-0.118485	4.500000	1
-0.076990	-4.500000	1
0.053881	-4.500000	1
0.119577	1.500000	1
-0.096091	7.500000	2
0.052736	10.500000	1
-0.229311	-2.500000	1
0.238846	-1.500000	1
0.247296	-0.500000	1
-0.051995	-0.500000	1
-0.214834	-1.500000	1
-0.209862	-1.500000	1
-0.165029	9.500000	1
0.313130	-6.500000	1
0.163486	0.500000	1
0.224701	-3.500000	2
0.233493	15.500000	2
0.106683	-4.500000	2
-0.293043	-1.500000	2
-0.092548	-1.500000	1
-0.104717	-4.500000	1
-0.272660	-3.500000	2
0.250913	26.500000	1
0.020514	9.500000	1
0.119274	4.500000	1
0.069894	-6.500000	1
-0.166278	-2.500000	2
-0.208605	8.500000	2
0.149982	17.500000	1
-0.268807	-4.500000	2
-0.053673	-3.500000	2
-0.115928	-2.500000	1
0.003087	-3.500000	1
-0.272687	-6.500000	1
-0.141989	-2.500000	1
0.099922	-6.500000	1
-0.065360	1.500000	1
0.057490	6.500000	1
-0.124121	4.500000	2
-0.029802	-7.500000	2
0.459674	4.500000	2
0.041385	12.500000	2
0.487704	-4.500000	2
0.015437	1.500000	1
-0.101426	10.500000	2
-0.108544	-4.500000	1
0.128320	2.500000	1
-0.155512	15.500000	1
0.001112	-3.500000	1
0.085530	0.500000	2
0.081761	-7.500000	1
-0.185563	-7.500000	1
0.382702	13.500000	1
-0.236787	-3.500000	1
0.208188	-2.500000	1
0.149919	6.500000	1
-0.256940	1.500000	1
0.123166	-5.500000	1
-0.188581	-4.500000	1
-0.081670	-3.500000	1
-0.071800	-5.500000	2
-0.193687	-0.500000	2
-0.299826	-3.500000	2
-0.073338	-0.500000	2
0.122622	1.500000	1
0.102501	-3.500000	1
0.027275	-4.500000	1
-0.020483	0.500000	1
-0.016084	-3.500000	1
-0.296807	-3.500000	2
-0.159281	-4.500000	2
0.039377	-4.500000	1
0.367398	3.500000	2
0.064628	-1.500000	2
0.295259	4.500000	2
-0.028733	-2.500000	1
-0.039358	-3.500000	1
-0.163939	-3.500000	2
-0.165428	-7.500000	2
-0.148713	-3.500000	1
-0.186919	-3.500000	1
-0.096220	-5.500000	2
0.099965	-3.500000	1
-0.027618	-2.500000	1
0.198765	-6.500000	1
0.175812	1.500000	1
0.151400	6.500000	1
0.072677	4.500000	2
-0.002516	-7.500000	2
0.294987	4.500000	2
0.111632	12.500000	2
-0.117073	-4.500000	2
-0.015274	1.500000	1
0.149989	10.500000	2
0.003823	-4.500000	1
0.199030	2.500000	1
0.078558	15.500000	1
0.309435	-3.500000	1
0.197920	0.500000	2
0.231519	-7.500000	1
-0.141109	-7.500000	1
0.367041	13.500000	1
0.104993	-3.500000	1
0.310455	-2.500000	1
0.162223	6.500000	1
0.016307	1.500000	1
0.117679	-5.500000	1
-0.068037	-4.500000	1
0.102119	-3.500000	1
0.080001	-5.500000	2
-0.065733	-0.500000	2
0.248898	-3.500000	2
0.067701	-0.500000	2
0.169241	1.500000	1
0.023987	-3.500000	1
0.105447	-4.500000	1
0.228362	0.500000	1
-0.013370	-3.500000	1
-0.237213	-3.500000	2
-0.022811	-4.500000	2
0.342940	-4.500000	1
0.302121	3.500000	2
-0.049062	-1.500000	2
0.397143	4.500000	2
0.095904	-2.500000	1
0.189833	-3.500000	1
0.152100	-3.500000	2
-0.083165	-7.500000	2
-0.004032	-3.500000	1
-0.144955	-3.500000	1
0.218742	-5.500000	2
0.083135	-3.500000	1
-0.019549	-2.500000	1
0.221223	-6.500000	1
0.112311	1.500000	1
