Participant,Group,Condition,Accuracy
Sub-056,2.0,sad_happy,92.30769230769229
Sub-056,2.0,sad_sad,50.0
Sub-057,2.0,happy_happy,61.53846153846154
Sub-057,2.0,happy_sad,70.0
Sub-057,2.0,sad_happy,36.36363636363637
Sub-057,2.0,sad_sad,90.9090909090909
Sub-059,2.0,happy_happy,93.33333333333331
Sub-059,2.0,happy_sad,100.0
Sub-059,2.0,sad_happy,100.0
Sub-059,2.0,sad_sad,100.0
Sub-061,1.0,happy_happy,80.0
Sub-061,1.0,happy_sad,80.0
Sub-061,1.0,sad_happy,64.28571428571429
Sub-061,1.0,sad_sad,73.33333333333333
Sub-062,2.0,happy_happy,100.0
Sub-062,2.0,happy_sad,84.61538461538461
Sub-062,2.0,sad_happy,80.0
Sub-062,2.0,sad_sad,90.0
Sub-064,1.0,happy_happy,100.0
Sub-064,1.0,happy_sad,100.0
Sub-064,1.0,sad_happy,100.0
Sub-064,1.0,sad_sad,100.0
Sub-065,1.0,happy_happy,86.66666666666669
Sub-065,1.0,happy_sad,69.23076923076923
Sub-065,1.0,sad_happy,92.30769230769229
Sub-065,1.0,sad_sad,91.66666666666666
Sub-066,1.0,happy_happy,92.85714285714286
Sub-066,1.0,happy_sad,81.81818181818183
Sub-066,1.0,sad_happy,100.0
Sub-066,1.0,sad_sad,100.0
Sub-067,1.0,happy_happy,46.66666666666666
Sub-067,1.0,happy_sad,91.66666666666666
Sub-067,1.0,sad_happy,33.33333333333333
Sub-067,1.0,sad_sad,73.33333333333333
Sub-068,2.0,happy_happy,100.0
Sub-068,2.0,happy_sad,92.30769230769229
Sub-068,2.0,sad_happy,93.33333333333331
Sub-068,2.0,sad_sad,93.33333333333331
Sub-069,2.0,happy_happy,100.0
Sub-069,2.0,happy_sad,92.30769230769229
Sub-069,2.0,sad_happy,100.0
Sub-069,2.0,sad_sad,100.0
Sub-070,2.0,happy_happy,71.42857142857143
Sub-070,2.0,happy_sad,40.0
Sub-070,2.0,sad_happy,78.57142857142857
Sub-070,2.0,sad_sad,90.0
Sub-071,2.0,happy_happy,100.0
Sub-071,2.0,happy_sad,100.0
Sub-071,2.0,sad_happy,100.0
Sub-071,2.0,sad_sad,100.0
Sub-072,1.0,happy_happy,100.0
Sub-072,1.0,happy_sad,100.0
Sub-072,1.0,sad_happy,100.0
Sub-072,1.0,sad_sad,100.0
Sub-073,2.0,happy_happy,92.85714285714286
Sub-073,2.0,happy_sad,83.33333333333334
Sub-073,2.0,sad_happy,100.0
Sub-073,2.0,sad_sad,91.66666666666666
Sub-074,2.0,happy_happy,100.0
Sub-074,2.0,happy_sad,100.0
Sub-074,2.0,sad_happy,93.33333333333331
Sub-074,2.0,sad_sad,100.0
Sub-075,1.0,happy_happy,100.0
Sub-075,1.0,happy_sad,100.0
Sub-075,1.0,sad_happy,76.92307692307693
Sub-075,1.0,sad_sad,92.85714285714286
Sub-076,1.0,happy_happy,86.66666666666669
Sub-076,1.0,happy_sad,66.66666666666666
Sub-076,1.0,sad_happy,86.66666666666669
Sub-076,1.0,sad_sad,100.0
Sub-077,1.0,happy_happy,100.0
Sub-077,1.0,happy_sad,83.33333333333334
Sub-077,1.0,sad_happy,100.0
Sub-077,1.0,sad_sad,100.0
Sub-078,2.0,happy_happy,100.0
Sub-078,2.0,happy_sad,91.66666666666666
Sub-078,2.0,sad_happy,100.0
Sub-078,2.0,sad_sad,100.0
Sub-079,2.0,happy_happy,100.0
Sub-079,2.0,happy_sad,100.0
Sub-079,2.0,sad_happy,100.0
Sub-079,2.0,sad_sad,100.0
Sub-080,2.0,happy_happy,93.33333333333331
Sub-080,2.0,happy_sad,100.0
Sub-080,2.0,sad_happy,100.0
Sub-080,2.0,sad_sad,100.0
Sub-081,1.0,happy_happy,100.0
Sub-081,1.0,happy_sad,92.30769230769229
Sub-081,1.0,sad_happy,100.0
