"ROI","TaskCondition","Participant","BrainValue"
"1","2","96",0.190007421424704
"1","2","97",0.286953395096267
"1","2","98",0.150814988432221
"1","2","99",-0.272569509499472
"1","2","100",-0.143753604693417
"1","2","101",-0.0941492484824266
"1","2","102",-0.348844636839733
"1","2","103",0.0784628688380486
"1","2","104",-0.116017390395627
"1","2","105",-0.369492941954347
"1","2","106",0.160350350348839
"1","2","107",0.391435017332253
"1","2","108",-0.113765085877934
"1","2","109",0.509672773243101
"1","2","110",0.423134679035321
"1","2","111",0.136871475411699
"1","2","112",-0.0739125311042049
"1","3","1",0.423049743124925
"1","3","2",0.695393387743128
"1","3","3",-0.339776884570407
"1","3","4",-0.0765902260242681
"1","3","5",0.469998362015432
"1","3","6",0.785977830213529
"1","3","7",0.379617653908284
"1","3","8",1.26465255988931
"1","3","9",-0.124156668687588
"1","3","10",-0.212074333591632
"1","3","11",0.165343948367347
"1","3","12",-0.840182743042829
"1","3","13",0.462146246442344
"1","3","14",0.424556538107849
"1","3","15",0.323418844952172
"1","3","16",0.196789072013035
"1","3","17",-0.0958211244201303
"1","3","18",0.66083792171308
"1","3","19",-0.374316894177061
"1","3","20",0.33886450209193
"1","3","21",0.458747140698783
"1","3","22",0.415394372861393
"1","3","23",0.215977995639023
"1","3","24",0.123836568194545
"1","3","25",-0.639624829212941
"1","3","26",0.197013125321625
"1","3","27",0.79022895087715
"1","3","28",0.330486538778324
"1","3","29",0.169568934600871
"1","3","30",0.345040915579331
"1","3","31",0.460059749250247
"1","3","32",0.63536437885548
"1","3","33",0.221884606012363
"1","3","34",0.530719716989427
"1","3","35",0.0961737407527504
"1","3","36",0.30024937821961
"1","3","37",0.705960787432499
"1","3","38",0.0804172716242152
"1","3","39",0.209847921454771
"1","3","40",-0.0483787253128016
"1","3","41",0.380866451295359
"1","3","42",0.492120264257055
"1","3","43",0.730689937990855
"1","3","44",0.515279815239809
"1","3","45",0.517638498736966
"1","3","46",0.0683965163115635
"1","3","47",-0.0727768958871806
"1","3","48",0.0829144028409165
"1","3","49",0.247735282189081
"1","3","50",-0.39495514210027
"1","3","51",0.338841054175897
"1","3","52",-0.252104412529456
"1","3","53",-0.0238716909348074
"1","3","54",-0.342174170099623
"1","3","55",0.445222661131993
"1","3","56",0.632330596577603
"1","3","57",-0.0288416697772417
"1","3","58",0.202652593022137
"1","3","59",-0.182002297434596
"1","3","60",0.016970120160648
"1","3","61",0.294463638033589
"1","3","62",0.430233879681162
"1","3","63",0.0893611970463601
"1","3","64",0.650797273127035
"1","3","65",-0.0526239197201718
"1","3","66",0.17047555593592
"1","3","67",0.175621463723727
"1","3","68",0.150583846153202
"1","3","69",1.01925830778323
"1","3","70",-0.113451733891117
"1","3","71",0.0393439119284673
"1","3","72",0.410586537412651
"1","3","73",0.547604977392988
"1","3","74",-0.189790703762481
"1","3","75",0.275344742058844
"1","3","76",-0.397000858586075
"1","3","77",-0.858840064289487
"1","3","78",0.286380001848081
"1","3","79",0.0462376260889552
"1","3","80",-0.116387339288387
"1","3","81",0.182481222396065
"1","3","82",0.289601634604841
"1","3","83",0.236081143920651
"1","3","84",0.311065019002351
"1","3","85",0.269982705697079
"1","3","86",0.388602984603494
"1","3","87",0.100021784010603
"1","3","88",0.607434251557702
"1","3","89",0.125968676415604
"1","3","90",0.495796010069023
"1","3","91",0.553452122831581
"1","3","92",0.31652408705892
"1","3","93",0.854755402097236
"1","3","94",0.186907381307697
"1","3","95",-0.582475670893502
"1","3","96",0.474629604242376
"1","3","97",0.335519517756756
"1","3","98",0.423473811799251
"1","3","99",0.436029142808033
"1","3","100",-0.0323956287522241
"1","3","101",0.0191506489713599
"1","3","102",0.388218108745455
"1","3","103",0.380087541649118
"1","3","104",0.407004000199447
"1","3","105",-0.348749598317848
"1","3","106",-0.0350333403046356
"1","3","107",0.475608521784709
"1","3","108",0.24770637974143
"1","3","109",0.248626750261511
"1","3","110",0.317172782060244
"1","3","111",-0.0827547377413415
"1","3","112",0.370051376222234
"1","4","1",0.388168388287699
"1","4","2",0.320370475700545
"1","4","3",-0.226718178412657
"1","4","4",-0.267828221267233
"1","4","5",0.474605128280262
"1","4","6",0.217495552208102
"1","4","7",0.0877946167628232
"1","4","8",0.413118718209444
"1","4","9",-0.401380939908871
"1","4","10",-0.186342864240069
"1","4","11",-0.0190190793246001
"1","4","12",-0.299714329436694
"1","4","13",0.306983782396826
"1","4","14",0.526187016495636
"1","4","15",-0.0858793040866229
"1","4","16",-0.0174108929529694
"1","4","17",0.149315542253719
"1","4","18",0.252814516547785
"1","4","19",-0.456597919991383
"1","4","20",0.0717542428652021
"1","4","21",0.252886007404954
"1","4","22",0.268999568259105
"1","4","23",0.0682378965843399
"1","4","24",0.112965378672298
"1","4","25",-0.292099097949663
"1","4","26",-0.0496530102302685
"1","4","27",0.64671945935037
"1","4","28",-0.0385692248795734
"1","4","29",0.248762244870447
"1","4","30",-0.0424256536085537
"1","4","31",0.2655893444307
"1","4","32",0.397813889553876
"1","4","33",-0.109442817903317
"1","4","34",-0.0362465554633393
"1","4","35",-0.223533884722697
"1","4","36",-0.11303086478142
"1","4","37",0.136686301176352
"1","4","38",0.030145773507595
"1","4","39",0.101416778052226
"1","4","40",-0.0638147816213408
"1","4","41",0.325945972019274
"1","4","42",0.311704917000682
"1","4","43",0.000423398915189886
"1","4","44",0.27934639584046
"1","4","45",0.111435826966709
"1","4","46",-0.0686350127973601
"1","4","47",-0.10912176630861
"1","4","48",-0.484347939025611
"1","4","49",0.14352047888219
"1","4","50",-0.46665364470906
"1","4","51",0.259104478135099
"1","4","52",-0.193256022590567
"1","4","53",-0.185856580315158
"1","4","54",-0.357448985232267
"1","4","55",0.322964983223106
"1","4","56",0.350905616862351
"1","4","57",-0.0452350849073713
"1","4","58",-0.0504863267079208
"1","4","59",-0.40077451866582
"1","4","60",-0.236833306056378
"1","4","61",0.293701765316773
"1","4","62",0.107583053599346
"1","4","63",0.189930175529505
"1","4","64",0.357216480914708
"1","4","65",0.113304675187598
"1","4","66",-0.0844512954751802
"1","4","67",0.0328996763726864
"1","4","68",0.0180144226908589
"1","4","69",0.365162706406983
"1","4","70",-0.504018069996515
"1","4","71",-0.120643056033755
"1","4","72",-0.0136930867847379
"1","4","73",0.521344723129221
"1","4","74",-0.30060905382592
"1","4","75",0.242282346807178
"1","4","76",-0.325592263603876
"1","4","77",-0.533137414119835
"1","4","78",0.180262843517801
"1","4","79",0.0541727805324152
"1","4","80",-0.079768888649365
"1","4","81",0.123386161481371
"1","4","82",0.0237005960548342
"1","4","83",-0.082546323549894
"1","4","84",-0.00470861159023693
"1","4","85",0.0674463600114619
"1","4","86",0.263536787087408
"1","4","87",-0.00483179313787183
"1","4","88",0.145713924699107
"1","4","89",-0.00398237308708288
"1","4","90",0.120299630730254
"1","4","91",0.238616252416457
"1","4","92",0.122975142001292
"1","4","93",-0.0467643570154905
"1","4","94",0.115036205710404
"1","4","95",-0.370864923127238
"1","4","96",0.134831027529531
"1","4","97",0.0846410525822633
"1","4","98",0.267445845635441
"1","4","99",0.544818481082112
"1","4","100",-0.133561156259677
"1","4","101",-0.0784076143793451
"1","4","102",-0.461178499924977
"1","4","103",0.0638204403494899
"1","4","104",-0.031635961937974
