primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;215.61964028550614;s_h;;;;;0;28;28;28;;;;;;;491.0449277001899;None;493.05315910000354;493.3699823000934;494.5032326001674;494.51987239997834;496.50319880014285;None;None;0;496.50319880014285;None;;;;;;;;4;;;;;;;;498.053173399996;None;None;None;[];498.053173399996;None;['7'];498.053173399996;None;[1.4551332001574337];;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
6.0;m;016_y_m_h_a.jpg;happy;9.0;happy_9.2ns.avi;happy;9.0;congruent;120.0;150.0;130.52042428082717;h_h;;;;;0;29;29;29;;;;;;;501.05306440009736;None;502.3695283001289;502.68624510010704;503.86201260006055;503.9029957000166;509.7443860999774;None;None;0;509.7443860999774;None;;;;;;;;5;;;;;;;;511.29437120002694;None;None;None;[];511.29437120002694;None;None;511.29437120002694;None;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
0.0;f;040_y_f_s_a.jpg;sad;7.0;happy_127.3.wmv;happy;9.0;incongruent;130.0;150.0;131.7195455720239;s_h;;;;;0;30;30;30;;;;;;;514.3191017000936;None;515.6190299000591;515.935753100086;517.0857951000798;517.1025584000163;519.1357508001383;None;None;0;519.1357508001383;None;;;;;;;;5;;;;;;;;520.6856766999699;None;None;None;[];520.6856766999699;None;None;520.6856766999699;None;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
0.0;f;030_o_f_s_a.jpg;sad;7.0;happy_125.3.wmv;happy;9.0;incongruent;130.0;150.0;220.51454909128134;s_h;;;;;0;31;31;31;;;;;;;523.7107373001054;None;525.7687858000863;526.0854573000688;527.2285516001284;527.2521725001279;529.2187730001751;None;None;0;529.2187730001751;None;;;;;;;;4;;;;;;;;530.8104109000415;None;None;None;[];530.8104109000415;None;['7'];530.8104109000415;None;[0.29796890006400645];;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_64.3ns.avi;sad;7.0;congruent;130.0;160.0;165.78667874766072;s_s;;;;;0;32;32;32;;;;;;;533.8186989000533;None;535.4185009000357;535.7351288001519;536.8935319001321;536.9102466001641;541.8683869000524;None;None;0;541.8683869000524;None;;;;;;;;5;;;;;;;;543.476657200139;None;None;None;[];543.476657200139;None;"['9', '7']";543.476657200139;None;"[0.39150979998521507, 0.9916773000732064]";;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
3.0;m;013_y_m_s_a.jpg;sad;7.0;sad_7.7ns.avi;sad;7.0;congruent;130.0;160.0;196.24182255763262;s_s;;;;;0;33;33;33;;;;;;;546.4848760999739;None;548.3680693001952;548.6847296999767;549.9178028001916;549.9345523000229;555.8180117001757;None;None;0;555.8180117001757;None;;;;;;;;5;;;;;;;;557.3677487000823;None;None;None;[];557.3677487000823;None;"['7', '9', '9']";557.3677487000823;None;"[1.7645105000119656, 2.4605036000721157, 2.92442260007374]";;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
3.0;m;013_y_m_h_a.jpg;happy;9.0;happy_9.1ns.avi;happy;9.0;congruent;120.0;150.0;165.1890303600433;h_h;;;;;0;34;34;34;;;;;;;560.3677733000368;None;561.9674929000903;562.2843332001939;563.4350116001442;563.4596480000764;566.6425346999895;None;None;0;566.6425346999895;None;;;;;;;;6;;;;;;;;568.1924926000647;None;None;None;[];568.1924926000647;None;['9'];568.1924926000647;None;[0.21981099992990494];;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
4.0;m;004_o_m_h_a.jpg;happy;9.0;sad_95.1ns.avi;sad;7.0;incongruent;120.0;160.0;152.68270002069931;h_s;;;;;0;35;35;35;;;;;;;571.1924243001267;None;572.7588337999769;573.0756451999769;574.2423362000845;574.2589067001827;583.0004867000971;None;None;0;583.0004867000971;None;;;;;;;;3;;;;;;;;584.5584599999711;None;None;None;[];584.5584599999711;None;"['7', '7', '7', '7']";584.5584599999711;None;"[0.28581629996187985, 0.7177514000795782, 1.1257305999752134, 1.5577656999230385]";;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
3.0;m;013_y_m_h_a.jpg;happy;9.0;sad_113.2.wmv;sad;7.0;incongruent;120.0;160.0;217.4973891947951;h_s;;;;;0;36;36;36;;;;;;;587.5586520000361;None;589.6001600001473;589.9166741999798;591.0418147000019;591.0583767001517;593.050024199998;None;None;0;593.050024199998;None;;;;;;;;5;;;;;;;;594.5997834000736;None;None;None;[];594.5997834000736;None;None;594.5997834000736;None;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_25.1ns.avi;happy;9.0;congruent;120.0;150.0;216.63044503818386;h_h;;;;;0;37;37;37;;;;;;;597.6330424000043;None;599.6579702000599;599.9746905001812;601.1663216000888;601.1830890001729;604.7996041001752;None;None;0;604.7996041001752;None;;;;;;;;3;;;;;;;;606.3496052001137;None;None;None;[];606.3496052001137;None;"['7', '7', '7']";606.3496052001137;None;"[0.2626094000879675, 0.4944637001026422, 0.9267975001130253]";;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
