primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;120.0;150.0;225.70986890587952;h_h;;;;;0;22;22;22;;;;;;;313.6017326996662;None;315.9930983996019;316.3098094998859;317.5014912998304;317.51800119969994;322.0180882997811;None;9;0;322.0180882997811;None;;;;;;;;7;;;;;;0.5860146000050008;323.56786609999835;None;None;None;[];323.56786609999835;None;"['9', '9', '9']";"[0.4602250000461936, 0.8122479999437928, 1.7080510002560914]";323.56786609999835;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
8.0;m;008_y_m_h_a.jpg;happy;9.0;sad_111.1.wmv;sad;7.0;incongruent;120.0;160.0;152.63076835312847;h_s;;;;;0;23;23;23;;;;;;;326.5762480995618;None;328.05118179973215;328.3677584999241;329.50148979993537;329.5261369999498;331.5010676998645;None;7;0;331.5010676998645;None;;;;;;;;3;;;;;;0.5430781999602914;333.04271449986845;None;None;None;[];333.04271449986845;None;"['7', '7']";"[0.44947769958525896, 0.665323399938643]";333.04271449986845;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_67.2ns.avi;sad;7.0;congruent;130.0;160.0;220.9892697323079;s_s;;;;;0;24;24;24;;;;;;;336.050930199679;None;338.1090649999678;338.42579549970105;339.5923236999661;339.6091487999074;348.7838772996329;None;7;0;348.7838772996329;None;;;;;;;;4;;;;;;0.6443202998489141;350.3338281996548;None;None;None;[];350.3338281996548;None;['7'];[0.39035880006849766];350.3338281996548;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_29.1ns.avi;happy;9.0;incongruent;130.0;150.0;120.0316142834122;s_h;;;;;0;25;25;25;;;;;;;353.3338527996093;None;354.5335805998184;354.85030689975247;356.058348399587;356.0753425997682;358.6752560995519;None;9;0;358.6752560995519;None;;;;;;;;8;;;;;;0.5209803995676339;360.22520339954644;None;None;None;[];360.22520339954644;None;"['9', '9', '9']";"[0.49101309990510345, 0.6668198998086154, 0.9868848002515733]";360.22520339954644;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
6.0;m;016_y_m_s_a.jpg;sad;7.0;sad_8.3ns.avi;sad;7.0;congruent;130.0;160.0;152.85371098242734;s_s;;;;;0;26;26;26;;;;;;;363.23359179962426;None;364.71663219993934;365.03329399973154;366.19135169964284;366.20815599989146;373.9247569995932;None;7;0;373.9247569995932;None;;;;;;;;5;;;;;;1.27934779971838;375.4747287998907;None;None;None;[];375.4747287998907;None;None;;375.4747287998907;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
6.0;m;016_y_m_h_a.jpg;happy;9.0;sad_114.1.wmv;sad;7.0;incongruent;120.0;160.0;136.20550699298644;h_s;;;;;0;27;27;27;;;;;;;378.49964389996603;None;379.8411490996368;380.1578302998096;381.29120479989797;381.3078410997987;383.29119809996337;None;7;0;383.29119809996337;None;;;;;;;;4;;;;;;1.208926500286907;384.8410940999165;None;None;None;[];384.8410940999165;None;['7'];[0.4670357001014054];384.8410940999165;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;215.61964028550614;s_h;;;;;0;28;28;28;;;;;;;387.84943559998646;None;389.8491717996076;390.1658671996556;391.3242740998976;391.3407858996652;393.29923769971356;None;9;0;393.29923769971356;None;;;;;;;;7;;;;;;0.6089162998832762;394.8574525997974;None;None;None;[];394.8574525997974;None;"['9', '9', '9']";"[0.4187813000753522, 0.6026972997933626, 1.122683099936694]";394.8574525997974;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
6.0;m;016_y_m_h_a.jpg;happy;9.0;happy_9.2ns.avi;happy;9.0;congruent;120.0;150.0;130.52042428082717;h_h;;;;;0;29;29;29;;;;;;;397.86580069968477;None;399.165528499987;399.48223569989204;400.6489486997016;400.66561779985204;406.540490699932;None;9;0;406.540490699932;None;;;;;;;;8;;;;;;0.391782000195235;408.1070499997586;None;None;None;[];408.1070499997586;None;"['9', '9', '9']";"[0.345121200196445, 0.5370014002546668, 0.7370029003359377]";408.1070499997586;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
0.0;f;040_y_f_s_a.jpg;sad;7.0;happy_127.3.wmv;happy;9.0;incongruent;130.0;150.0;131.7195455720239;s_h;;;;;0;30;30;30;;;;;;;411.10695159994066;None;412.40681549999863;412.7235107999295;413.8568499996327;413.87354729976505;415.92359939962626;None;None;0;415.92359939962626;None;;;;;;;;5;;;;;;;417.4732607998885;None;None;None;[];417.4732607998885;None;None;;417.4732607998885;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
0.0;f;030_o_f_s_a.jpg;sad;7.0;happy_125.3.wmv;happy;9.0;incongruent;130.0;150.0;220.51454909128134;s_h;;;;;0;31;31;31;;;;;;;420.4898581998423;None;422.5398018998094;422.856525699608;423.9982272996567;424.0147183998488;425.9981464999728;None;8;0;425.9981464999728;None;;;;;;;;5;;;;;;0.8699926999397576;427.54811289999634;None;None;None;[];427.54811289999634;None;None;;427.54811289999634;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
