primePerson,primeGender,prime,primeEmotion,corrAnsPrime,target,targetEmotion,corrAnsTar,Cond,ID_Primer,ID_Target,JitterTime,Condition,example.thisRepN,example.thisTrialN,example.thisN,example.thisIndex,study.thisRepN,study.thisTrialN,study.thisN,study.thisIndex,MR_trigger_time,MR_trigger_number,text_intro.started,text_intro.stopped,text_probe.started,text_probe.stopped,polygon_ISI.started,polygon_ISI.stopped,polygon.started,polygon.stopped,primerImage.started,primerImage.stopped,response.started,response.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,slider_Text.started,slider_Text.stopped,slider_ex.response,slider_ex.rt,slider_ex.history,slider_ex.started,slider_ex.stopped,Rating,slider_resp_response.keys,slider_resp_response.started,slider_resp_response.stopped,text_start.started,text_start.stopped,text_slider.started,text_slider.stopped,slider_stud.response,slider_stud.rt,slider_stud.history,slider_stud.started,slider_stud.stopped,slider_resp_study.keys,slider_resp_study.rt,slider_resp_study.started,slider_resp_study.stopped,participant,date,expName,psychopyVersion,frameRate,
3.0,m,033_o_m_s_a.jpg,sad,7.0,happy_126.3.wmv,happy,9.0,incongruent,130.0,150.0,198.85252030535366,s_h,,,,,0,45,45,45,,,,,,,598.499710300006,None,600.3580205000471,600.6745904001873,601.8077746001072,601.8245992001612,603.8079896001145,None,None,0,,603.8079896001145,None,,,,,,,,4,,,,,,605.3577935001813,None,None,None,[],605.3577935001813,None,['7'],[1.3573066999670118],605.3577935001813,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
3.0,m,033_o_m_h_a.jpg,happy,9.0,sad_136.1.wmv,sad,7.0,incongruent,120.0,160.0,176.97002883463455,h_s,,,,,0,46,46,46,,,,,,,608.3662728001364,None,610.0408977000043,610.3576171000022,611.4827027001884,611.4993206001818,613.4909227001481,None,7,0,0.7201362000778317,613.4909227001481,None,,,,,,,,4,,,,,,615.0408765000757,None,None,None,[],615.0408765000757,None,['7'],[0.3862139000557363],615.0408765000757,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
9.0,f,019_m_f_h_a.jpg,happy,9.0,happy_10.1ns.avi,happy,9.0,congruent,120.0,150.0,157.2463435658512,h_h,,,,,0,47,47,47,,,,,,,618.0408491000999,None,619.5655498001724,619.8823144000489,621.0404990001116,621.057170300046,628.4653792001773,None,None,0,,628.4653792001773,None,,,,,,,,5,,,,,,630.0152340000495,None,None,None,[],630.0152340000495,None,"['9', '7']","[1.2759563999716192, 2.8039245000109076]",630.0152340000495,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
2.0,f,012_o_f_h_a.jpg,happy,9.0,happy_2.2ns.avi,happy,9.0,congruent,120.0,150.0,206.34800317295262,h_h,,,,,0,48,48,48,,,,,,,633.0153402001597,None,634.9650474002119,635.290382000152,636.4402125000488,636.4568678000942,648.6148731000721,None,None,0,,648.6148731000721,None,,,,,,,,5,,,,,,650.1815444000531,None,None,None,[],650.1815444000531,None,None,,650.1815444000531,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
3.0,m,033_o_m_h_a.jpg,happy,9.0,happy_24.2ns.avi,happy,9.0,congruent,120.0,150.0,167.9423847659953,h_h,,,,,0,49,49,49,,,,,,,653.2061922000721,None,654.8061982002109,655.1229170002043,656.3062247000635,656.3229287001304,659.9812361001968,None,None,0,,659.9812361001968,None,,,,,,,,5,,,,,,661.5311305001378,None,None,None,[],661.5311305001378,None,None,,661.5311305001378,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
1.0,f,021_o_f_s_a.jpg,sad,7.0,happy_61.2ns.avi,happy,9.0,incongruent,130.0,150.0,210.94664004826666,s_h,,,,,0,50,50,50,,,,,,,664.5560995000415,None,666.5058010001667,666.822481600102,667.9892828001175,668.0056457000319,672.4807836001273,None,None,0,,672.4807836001273,None,,,,,,,,5,,,,,,674.0308018000796,None,None,None,[],674.0308018000796,None,None,,674.0308018000796,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
4.0,m,004_o_m_s_a.jpg,sad,7.0,sad_2.4ns.avi,sad,7.0,congruent,130.0,160.0,153.02079367163634,s_s,,,,,0,51,51,51,,,,,,,677.0472365000751,None,678.5470141000114,678.8638031000737,680.1305574001744,680.1471764000598,687.9636733001098,None,None,0,,687.9636733001098,None,,,,,,,,5,,,,,,689.5134030000772,None,None,None,[],689.5134030000772,None,None,,689.5134030000772,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
8.0,m,008_y_m_h_a.jpg,happy,9.0,happy_1.2ns.avi,happy,9.0,congruent,120.0,150.0,210.98946429383824,h_h,,,,,0,52,52,52,,,,,,,692.5466124000959,None,694.538178200135,694.855385000119,695.99665310001,696.0133601000998,708.7885868002195,None,None,0,,708.7885868002195,None,,,,,,,,5,,,,,,710.4380144001916,None,None,None,[],710.4380144001916,None,None,,710.4380144001916,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
2.0,f,012_o_f_s_a.jpg,sad,7.0,happy_52.2ns.avi,happy,9.0,incongruent,130.0,150.0,172.57202848318138,s_h,,,,,0,53,53,53,,,,,,,713.471204200061,None,715.0961052000057,715.4127739001997,716.5717131001875,716.5881205000915,720.1128039001487,None,None,0,,720.1128039001487,None,,,,,,,,4,,,,,,721.6626046001911,None,None,None,[],721.6626046001911,None,['7'],[2.212483200011775],721.6626046001911,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
,,,,,,,,,,,,,,,,,,,,,,,,,,,724.6709341001697,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
