primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;key_resp.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
2.0;f;012_o_f_h_a.jpg;happy;9.0;sad_113.1.wmv;sad;7.0;incongruent;120.0;160.0;177.44551734737394;h_s;;;;;0;42;42;42;;;;;;;557.8131802000571;None;559.4962029000744;559.8130513001233;560.9544232001062;560.9712511000689;562.9462629000191;None;None;0;562.9462629000191;None;;;;;;;;3;;;;;;;564.4960555001162;None;None;None;[];564.4960555001162;None;"['7', '7']";"[0.26968919998034835, 0.8618528000079095]";564.4960555001162;None;;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_64.5ns.avi;sad;7.0;congruent;130.0;160.0;130.55717223801247;s_s;;;;;0;43;43;43;;;;;;;567.5045072000939;None;568.8377551999874;569.1543453000486;570.3126594999339;570.329348700121;576.8790569999255;None;7;0;576.8790569999255;None;;;;;;;;2;;;;;;;578.4291284000501;None;None;None;[];578.4291284000501;None;"['7', '7', '7']";"[0.4409068999812007, 0.6888432998675853, 0.920796699821949]";578.4291284000501;None;0.5268038001377136;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
7.0;m;027_o_m_h_a.jpg;happy;9.0;sad_117.1.wmv;sad;7.0;incongruent;120.0;160.0;181.28665202824095;h_s;;;;;0;44;44;44;;;;;;;581.42915849993;None;583.1537482999265;583.4705382001121;584.6045395000838;584.6376785999164;586.6037657000124;None;8;0;586.6037657000124;None;;;;;;;;4;;;;;;;588.1538381001446;None;None;None;[];588.1538381001446;None;['7'];[0.8840497001074255];588.1538381001446;None;1.4421073000412434;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
3.0;m;033_o_m_s_a.jpg;sad;7.0;happy_126.3.wmv;happy;9.0;incongruent;130.0;150.0;198.85252030535366;s_h;;;;;0;45;45;45;;;;;;;591.1540737999603;None;593.0204082999844;593.3370020999573;594.4701902000234;594.486739099957;596.4791558999568;None;9;0;596.4791558999568;None;;;;;;;;7;;;;;;;598.1951679999474;None;None;None;[];598.1951679999474;None;"['9', '9']";"[0.3867870999965817, 0.6908166001085192]";598.1951679999474;None;1.390824600122869;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_136.1.wmv;sad;7.0;incongruent;120.0;160.0;176.97002883463455;h_s;;;;;0;46;46;46;;;;;;;601.2035394001286;None;602.9031714000739;603.2203421001323;604.3449987999629;604.3616077001207;606.3533858000301;None;9;0;606.3533858000301;None;;;;;;;;6;;;;;;;607.8946678999346;None;None;None;[];607.8946678999346;None;['9'];[0.5913100000470877];607.8946678999346;None;1.1244293998461217;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
9.0;f;019_m_f_h_a.jpg;happy;9.0;happy_10.1ns.avi;happy;9.0;congruent;120.0;150.0;157.2463435658512;h_h;;;;;0;47;47;47;;;;;;;610.8948363000527;None;612.4613357000053;612.7779540999327;613.9363540001214;613.9529162999243;621.3527417001314;None;9;0;621.3527417001314;None;;;;;;;;8;;;;;;;622.9193047001027;None;None;None;[];622.9193047001027;None;"['9', '9', '9']";"[0.3904945000540465, 0.6463479001540691, 0.8865339001640677]";622.9193047001027;None;0.4770255000330508;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_2.2ns.avi;happy;9.0;congruent;120.0;150.0;206.34800317295262;h_h;;;;;0;48;48;48;;;;;;;625.9193522001151;None;627.8941621000413;628.2107115001418;629.3780138001312;629.394033000106;641.5439011000562;None;9;0;641.5439011000562;None;;;;;;;;8;;;;;;;643.1020810001064;None;None;None;[];643.1020810001064;None;"['9', '9', '9']";"[0.31968249985948205, 0.6074262999463826, 0.8317137998528779]";643.1020810001064;None;0.48574499995447695;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
3.0;m;033_o_m_h_a.jpg;happy;9.0;happy_24.2ns.avi;happy;9.0;congruent;120.0;150.0;167.9423847659953;h_h;;;;;0;49;49;49;;;;;;;646.1020100000314;None;647.7185414999258;648.0352783000562;649.2020523999818;649.2185615999624;652.8935523000546;None;9;0;652.8935523000546;None;;;;;;;;7;;;;;;;654.4350580000319;None;None;None;[];654.4350580000319;None;"['9', '9']";"[0.3148024999536574, 0.5786301998887211]";654.4350580000319;None;0.672478900058195;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
1.0;f;021_o_f_s_a.jpg;sad;7.0;happy_61.2ns.avi;happy;9.0;incongruent;130.0;150.0;210.94664004826666;s_h;;;;;0;50;50;50;;;;;;;657.4350565001369;None;659.4266296999995;659.7431282000616;660.9512438001111;660.9681876001414;665.4097607999574;None;9;0;665.4097607999574;None;;;;;;;;8;;;;;;;666.9596816999838;None;None;None;[];666.9596816999838;None;"['9', '9', '9', '9', '9', '9']";"[0.3101903998758644, 0.5819589998573065, 0.8539032998960465, 1.4941197000443935, 2.0781266998965293, 2.526132900035009]";666.9596816999838;None;0.5479878999758512;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
4.0;m;004_o_m_s_a.jpg;sad;7.0;sad_2.4ns.avi;sad;7.0;congruent;130.0;160.0;153.02079367163634;s_s;;;;;0;51;51;51;;;;;;;669.9596269000322;None;671.459455500124;671.7761476000305;672.959327199962;672.9761514000129;680.8676696000621;None;7;0;680.8676696000621;None;;;;;;;;1;;;;;;;683.1591517000925;None;None;None;[];683.1591517000925;None;"['7', '7', '7', '7', '7']";"[0.13467300008051097, 0.47870479989796877, 0.6945855999365449, 0.918418699875474, 1.2148309999611229]";683.1591517000925;None;0.4583272999152541;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_1.2ns.avi;happy;9.0;congruent;120.0;150.0;210.98946429383824;h_h;;;;;0;52;52;52;;;;;;;686.1590913999826;None;688.183842800092;688.5005870999303;689.7006292000879;689.7172668999992;702.4252673999872;None;9;0;702.4252673999872;None;;;;;;;;8;;;;;;;703.9752060000319;None;None;None;[];703.9752060000319;None;"['9', '9', '9']";"[0.5506599999498576, 0.8785504000261426, 1.3989007000345737]";703.9752060000319;None;0.5883663999848068;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_52.2ns.avi;happy;9.0;incongruent;130.0;150.0;172.57202848318138;s_h;;;;;0;53;53;53;;;;;;;706.9752045001369;None;708.633241500007;708.9500021999702;710.1255451000761;710.1499930999707;713.6338512001093;None;9;0;713.6338512001093;None;;;;;;;;9;;;;;;;715.1830126999412;None;None;None;[];715.1830126999412;None;"['9', '9', '9', '9']";"[0.3186084998305887, 0.5665672000031918, 0.8386227998416871, 1.1747662997804582]";715.1830126999412;None;0.6599155999720097;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
9.0;f;019_m_f_s_a.jpg;sad;7.0;happy_61.1ns.avi;happy;9.0;incongruent;130.0;150.0;181.3003220572762;s_h;;;;;0;54;54;54;;;;;;;718.1914300001226;None;719.9663985001389;720.2828494000714;721.4586247999687;721.4912050999701;728.8077507000417;None;8;0;728.8077507000417;None;;;;;;;;5;;;;;;;730.3576881999616;None;None;None;[];730.3576881999616;None;['9'];[1.9360692000482231];730.3576881999616;None;0.573902599979192;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_133.1.wmv;sad;7.0;incongruent;120.0;160.0;198.86251500867985;h_s;;;;;0;55;55;55;;;;;;;733.3659725000616;None;735.2324660001323;735.5495341999922;736.6742235999554;736.6908342000097;738.6825775001198;None;7;0;738.6825775001198;None;;;;;;;;1;;;;;;;740.2323861999903;None;None;None;[];740.2323861999903;None;"['7', '7', '7', '7']";"[0.34920400008559227, 0.589230100158602, 0.8054439001716673, 1.029538800008595]";740.2323861999903;None;0.6832457000855356;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_128.2.wmv;sad;7.0;incongruent;120.0;160.0;206.10005857915363;h_s;;;;;0;56;56;56;;;;;;;743.2324814000167;None;745.1571619999595;745.4738064999692;746.606977700023;746.6238697001245;748.6154853000771;None;7;0;748.6154853000771;None;;;;;;;;3;;;;;;;750.1654147999361;None;None;None;[];750.1654147999361;None;"['7', '7']";"[0.4003537998069078, 0.6644295998848975]";750.1654147999361;None;0.590256999945268;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
1.0;f;021_o_f_s_a.jpg;sad;7.0;sad_9.5ns.avi;sad;7.0;congruent;130.0;160.0;206.16642757875042;s_s;;;;;0;57;57;57;;;;;;;753.1652905999217;None;755.0986331999302;755.4151530000381;756.5484289999586;756.5650522001088;762.2733426999766;None;7;0;762.2733426999766;None;;;;;;;;3;;;;;;;763.8233195000794;None;None;None;[];763.8233195000794;None;"['7', '7']";"[0.3745768000371754, 1.1265396000817418]";763.8233195000794;None;0.5643233000300825;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
1.0;f;021_o_f_h_a.jpg;happy;9.0;happy_12.1ns.avi;happy;9.0;congruent;120.0;150.0;132.59080005900228;h_h;;;;;0;58;58;58;;;;;;;766.8316951000597;None;768.1647401000373;768.4814154999331;769.6061517000198;769.6231273000594;777.2312597001437;None;8;0;777.2312597001437;None;;;;;;;;6;;;;;;;778.7810999001376;None;None;None;[];778.7810999001376;None;['9'];[0.4885543000418693];778.7810999001376;None;0.5744431999046355;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
3.0;m;013_y_m_s_a.jpg;sad;7.0;happy_56.2ns.avi;happy;9.0;incongruent;130.0;150.0;163.39234110935848;s_h;;;;;0;59;59;59;;;;;;;781.7811805999372;None;783.3732290000189;783.6893895999528;784.9065771999303;784.9392576999962;789.8478308001067;None;9;0;789.8478308001067;None;;;;;;;;7;;;;;;;791.3974951999262;None;None;None;[];791.3974951999262;None;"['9', '9']";"[0.3921769999433309, 0.8081571999937296]";791.3974951999262;None;0.8617731998674572;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;794.4057458001189;None;;;;;;
