primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
4.0;m;004_o_m_h_a.jpg;happy;9.0;sad_95.1ns.avi;sad;7.0;incongruent;120.0;160.0;152.68270002069931;h_s;;;;;0;35;35;35;;;;;;;498.86186050000833;None;500.3616743000166;500.6783473000105;501.81176540002343;501.8283803000231;510.60339830000885;None;7;0;510.60339830000885;None;;;;;;;;1;;;;;;;0.6168195999925956;512.1611928000057;None;None;None;[];512.1611928000057;None;"['7', '7', '7', '7', '7', '7']";"[0.2590535000199452, 0.5312750000157394, 0.8188398000202142, 1.203090000024531, 1.4910034000058658, 2.7151591000147164]";512.1611928000057;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
3.0;m;013_y_m_h_a.jpg;happy;9.0;sad_113.2.wmv;sad;7.0;incongruent;120.0;160.0;217.4973891947951;h_s;;;;;0;36;36;36;;;;;;;515.1613845000102;None;517.1859860000259;517.5028245000285;518.6361459000036;518.6532046000066;520.6361961000075;None;7;0;520.6361961000075;None;;;;;;;;4;;;;;;;0.5359788999776356;522.1860724000144;None;None;None;[];522.1860724000144;None;"['7', '7', '9']";"[0.22604010000941344, 0.5540075000026263, 2.226181700010784]";522.1860724000144;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_25.1ns.avi;happy;9.0;congruent;120.0;150.0;216.63044503818386;h_h;;;;;0;37;37;37;;;;;;;525.1860946000088;None;527.1941206000047;527.5107651000144;528.7111865000043;528.7277931999997;532.3359820000187;None;9;0;532.3359820000187;None;;;;;;;;4;;;;;;;0.5241391999879852;533.894030400028;None;None;None;[];533.894030400028;None;['7'];[2.438189799984684];533.894030400028;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_131.2.wmv;happy;9.0;incongruent;130.0;150.0;181.38407540847405;s_h;;;;;0;38;38;38;;;;;;;536.8940778000106;None;538.6103258000221;538.9270186000213;540.0604203000257;540.0771913000208;542.0603969000222;None;9;0;542.0603969000222;None;;;;;;;;6;;;;;;;0.4878844000049867;543.6103997000027;None;None;None;[];543.6103997000027;None;['9'];[0.257809200003976];543.6103997000027;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
0.0;f;040_y_f_h_a.jpg;happy;9.0;happy_24.3ns.avi;happy;9.0;congruent;120.0;150.0;213.25460698950434;h_h;;;;;0;39;39;39;;;;;;;546.6105641000031;None;548.5767103000253;548.8933951000217;550.0519745000056;550.0684074000164;551.9517677000258;None;9;0;551.9517677000258;None;;;;;;;;7;;;;;;;0.4843569000076968;553.5016859000025;None;None;None;[];553.5016859000025;None;"['9', '9']";"[0.17467050001141615, 0.48675470001762733]";553.5016859000025;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_139.1.wmv;happy;9.0;incongruent;130.0;150.0;162.31500468041804;s_h;;;;;0;40;40;40;;;;;;;556.5018298000214;None;558.059781900025;558.3765056000266;559.5098921000026;559.5265344000072;561.5181299000105;None;9;0;561.5181299000105;None;;;;;;;;7;;;;;;;0.39820689999032766;563.0680985000217;None;None;None;[];563.0680985000217;None;"['9', '9']";"[0.24012519998359494, 0.5040003999893088]";563.0680985000217;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
0.0;f;030_o_f_h_a.jpg;happy;9.0;happy_24.1ns.avi;happy;9.0;congruent;120.0;150.0;168.36256624020774;h_h;;;;;0;41;41;41;;;;;;;566.0764975000056;None;567.7011465000105;568.0178559000196;569.1846034000046;569.2012935000239;572.4762549000152;None;9;0;572.4762549000152;None;;;;;;;;8;;;;;;;0.49573210001108237;574.0260861000279;None;None;None;[];574.0260861000279;None;"['9', '9', '9', '9']";"[0.2664459000225179, 0.5219301000179257, 0.8017999000148848, 1.25036760000512]";574.0260861000279;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
2.0;f;012_o_f_h_a.jpg;happy;9.0;sad_113.1.wmv;sad;7.0;incongruent;120.0;160.0;177.44551734737394;h_s;;;;;0;42;42;42;;;;;;;577.0343215000175;None;578.7174062000122;579.0341553000035;580.1673658000072;580.1842441000044;582.167460800003;None;7;0;582.167460800003;None;;;;;;;;3;;;;;;;0.3648061999992933;583.7173653000209;None;None;None;[];583.7173653000209;None;"['7', '7']";"[0.24678600000333972, 0.49464580000494607]";583.7173653000209;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_64.5ns.avi;sad;7.0;congruent;130.0;160.0;130.55717223801247;s_s;;;;;0;43;43;43;;;;;;;586.7174123000004;None;588.0171660000051;588.3338007000275;589.4922934000206;589.5088792000024;596.0587051000039;None;7;0;596.0587051000039;None;;;;;;;;2;;;;;;;0.409462599986;597.6086415000027;None;None;None;[];597.6086415000027;None;"['7', '7', '7']";"[0.17177540002739988, 0.5714914000127465, 0.9476976000005379]";597.6086415000027;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
7.0;m;027_o_m_h_a.jpg;happy;9.0;sad_117.1.wmv;sad;7.0;incongruent;120.0;160.0;181.28665202824095;h_s;;;;;0;44;44;44;;;;;;;600.6086580000119;None;602.3417831000115;602.6584341000125;603.8167560000147;603.8333080000011;605.7915860000066;None;7;0;605.7915860000066;None;;;;;;;;6;;;;;;;0.5485467999824323;607.3417262000148;None;None;None;[];607.3417262000148;None;"['9', '9']";"[0.3026213999837637, 0.7504082999948878]";607.3417262000148;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
