;Factor1;Factor2;Factor3;Factor4;Factor5;Assigned_Factor
adverb_rate_pos;-0.08763969369151518;-0.13539393618235307;0.12747289140319645;0.48186463251641587;0.010931468227722587;Factor4
brunets_index_pos;-0.009852991488455627;0.05033969917409949;0.13154549848772834;0.9000669326143651;0.17474109757607292;Factor4
conjunction_rate_pos;0.2580262050427396;0.09149762579853601;0.1542248531329372;0.23864915634884312;0.09999734160435661;Factor1
determiner_rate_pos;-0.07918551642310827;0.14934144068602345;-0.15426293052179527;-0.5074373999986191;0.024269907915129858;Factor2
honore_stat_pos;0.11774052384774415;-0.1938158847971261;0.12553379018601818;-0.32103676348513716;0.05500477583247833;Factor3
inflected_verb_rate_pos;0.23538882670555888;0.06109021242326331;-0.004312038138930259;0.199418392887244;0.029903205007142736;Factor1
mean_number_subordinate_clauses_pos;-0.11200636480311289;-0.28616167541149395;0.009257470100237575;-0.25037228835953;0.008541170759550241;Factor3
mean_sentiment_pos;-0.10660086277715124;0.08177487592790725;-0.09097950200029123;0.2421887359138509;-0.05263311026244969;Factor4
negative_sentence_ratio_pos;0.14850762738886233;-0.08149497913923988;0.06859680161877967;0.08897075640201171;0.11299070399212274;Factor1
neutral_sentence_ratio_pos;-0.02816479882158289;-0.01218833362026257;0.03650085878538874;-0.3805989103112929;-0.05507259474863817;Factor3
noun_rate_pos;-0.07555519819614702;0.19668911330993605;-0.1591718789842157;-0.5787036950321958;0.061557133822431394;Factor2
number_consecutive_repetitions_pos;-0.0416929783124918;0.05164200397035931;0.043354087181723545;-0.12172215562083362;-0.012690854347170398;Factor2
positive_sentence_ratio_pos;-0.05093248277992453;0.056617046675254704;-0.07476918488364502;0.3458932998013508;-0.003917364905104442;Factor4
pronoun_rate_pos;0.11141869819779127;0.07531058004718334;0.06250895996678647;0.47061630900519363;0.04203976022532268;Factor4
proper_noun_rate_pos;-0.017892052905064505;-0.11648033433301005;0.08165082847001183;-0.08565552689866536;-0.19849045559796238;Factor3
proportion_verb_phrase_with_objects_pos;0.16518733165704153;0.14151608336629948;0.07043307825893054;-0.0031196011359227323;-0.06455066417503814;Factor1
proportion_verb_phrase_with_subjects_pos;0.15896702251616074;0.1419525832269876;0.25585743860820354;0.16542836627878413;0.11254485331001199;Factor3
type_token_ratio_pos;0.0695735487794463;-0.07937810999486858;-0.12022923457454451;-0.8453966679154068;-0.13854385366118627;Factor1
verb_phrase_with_aux_and_vp_rate_pos;0.0022615087916094856;-0.12929455649878419;-0.2785569530630575;-0.04069775392016538;-0.07899363079270075;Factor1
verb_phrase_with_aux_rate_pos;0.034818785496606275;0.0246800530895626;-0.0021566054901865136;-0.01082967713730587;0.24372578118289198;Factor5
verb_rate_pos;0.07650599166720962;-0.09003306973354797;-0.08263462686163205;0.26586954378304595;-0.013223917298381984;Factor4
word_count_pos;0.030760845384070937;0.02362116147849826;0.06972309542786237;0.8242870412484896;0.17280685143670818;Factor4
word_frequency_mean_pos;0.052947556881002764;-0.11034673992719295;0.029180903539885575;0.05565769162391568;-0.11599882330778558;Factor4
word_frequency_sd_pos;-0.05247302419491139;-0.07313400031990534;-0.009890431023738495;0.19300058934436304;-0.009509845171403936;Factor4
word_frequency_range_pos;0.011531271436736148;-0.037095541893585444;0.010567372976211286;0.5332297119213633;0.11406965815642899;Factor4
