;Factor1;Factor2;Factor3;Factor4;Factor5;Assigned_Factor
f3_relative_energy_mean_neg;-0.31255820004257046;0.3348723889967782;-0.6889070932329243;-0.06211871773049937;0.15334683280269157;Factor2
f3_relative_energy_sd_neg;0.233878612064752;0.5064727214131718;0.4293766013595373;-0.030533593378322173;0.32471387752261693;Factor2
h1_a3_harmonic_difference_mean_neg;0.20447884807787978;0.7343393852106024;-0.20827133777038456;-0.14461834843773566;-0.1347204482207338;Factor2
h1_a3_harmonic_difference_sd_neg;-0.25188179925239235;0.572621282191062;0.10896434649034951;-0.12033257053341145;0.22867138611837354;Factor2
h1_h2_harmonic_difference_mean_neg;-0.16002185059323135;-0.3519296882376941;0.3237738931168776;0.08101850894816227;0.010429741083405294;Factor3
h1_h2_harmonic_difference_sd_neg;0.4895233731776463;0.43652785854510784;-0.16169728152139012;-0.05148311814272661;0.0017076616075928476;Factor1
hammarberg_index_mean_neg;0.17506950632420887;-0.5411847187804475;0.5766660028631915;0.04785044973740819;0.061635460968005824;Factor3
hammarberg_index_sd_neg;0.10690273418226356;0.5939879416910413;0.40190922149071645;-0.11215608569702414;0.15820135468461105;Factor2
hnr_mean_neg;-0.03773264647762724;-0.1552225913742801;0.4346126171769397;-0.16097683962215475;0.12506649327464497;Factor3
hnr_sd_neg;-0.08356866647603911;0.05843227124364398;0.1807612287517297;0.07059309509824817;0.13448477938091374;Factor3
jitter_local_mean_neg;-0.19800943527777104;-0.6217422635836048;-0.13880503403474204;0.0800194394530511;-0.4281885460255825;Factor4
jitter_local_sd_neg;-0.22323276482267893;0.15467768390829376;-0.342226435807741;0.23812594389895803;-0.5698413278011888;Factor4
length_continuously_unvoiced_regions_mean_neg;0.31753179334940795;0.5796583138921818;-0.4167492684465091;-0.08904204987392661;-0.29797387621179644;Factor2
length_continuously_unvoiced_regions_sd_neg;0.2716434631847812;0.5858434010282383;-0.32927098795885856;-0.027489783442397983;-0.22792120567629892;Factor2
length_continuously_voiced_regions_mean_neg;0.05222665125501778;0.06031412433927575;0.7852172025509572;-0.13036048360937127;0.3120219099978352;Factor3
length_continuously_voiced_regions_sd_neg;-0.01785160741191661;0.21344461191634537;0.7365987228937524;0.007713171250021696;0.16835822934768346;Factor3
local_absolute_jitter_neg;-0.5873204511846832;-0.6824338880379316;0.08271130919449576;-0.11449597127243907;-0.11033439109118973;Factor3
local_shimmer_neg;-0.2022064383818268;-0.8611696998345194;-0.054369681159711795;0.03078025513234395;-0.061646278677628036;Factor4
loudness_mean_neg;-0.12271693445613906;-0.2831825211293196;-0.009367145442329507;0.2301340354072417;0.5625862654387572;Factor5
loudness_sd_neg;0.12286990738613021;0.49690367095704624;0.01988773349121326;-0.24102329879190326;-0.30231010556485505;Factor2
pause_durations_sum_neg;-0.029409803965630026;-0.1762901673669869;-0.06202414055660315;0.7301108305949752;-0.1771416493711931;Factor4
pause_durations_mean_neg;0.03353473154483372;-0.37944008740648877;-0.007747676218782992;0.12878929791945928;-0.589375702644149;Factor4
pause_durations_sd_neg;0.009365555880080437;-0.41683386416066465;-0.09208105824186265;0.23135167976525936;-0.58315624901222;Factor4
number_of_pauses_neg;0.02772855558023123;0.008923549309933086;-0.03726224960733829;0.8073342303432705;0.11972821223298377;Factor4
pause_rate_neg;0.17048896848932232;-0.04373847606328648;-0.14776332242994167;0.26485901789296873;-0.6528548862889048;Factor4
ppq5_jitter_neg;-0.1608073145664066;-0.7945023633477385;0.27189335075230936;-0.1165572346566012;-0.0054724681517537505;Factor3
rap_jitter_neg;-0.14203069590623094;-0.8055490935995399;0.31134345937827684;-0.1135667146541302;-0.09790750880945813;Factor3
rate_loudness_peaks_neg;0.10355304306531236;0.37939497803761213;0.006823249939913087;0.037495730207864106;-0.2621869614344549;Factor2
shimmer_local_dB_mean_neg;-0.15403702783985315;-0.8012494383369685;-0.04611523077451619;0.05534283916967941;-0.2517241322664166;Factor4
shimmer_local_dB_sd_neg;-0.5752725061293734;-0.01930744025303571;0.14997824655775086;0.014536395013222965;-0.2893659100069474;Factor3
signal_to_noise_ratio_neg;-0.10116184225862038;0.2413852906324695;0.013627654546928512;0.14737281828586146;0.7596132453448772;Factor5
spectral_slope_0_500_mean_neg;0.5903078076966005;0.3877816116928304;-0.25659446817460096;-0.010379718436779657;0.46170894263644047;Factor1
spectral_slope_0_500_sd_neg;0.12660717103833047;0.5631766423824635;-0.0613145286931352;0.0986241535426126;0.2300914811450592;Factor2
spectral_slope_500_1500_mean_neg;-0.5734886030891138;-0.10082871071135671;0.3918574147495672;-0.019406322994184586;-0.06948600221753447;Factor3
spectral_slope_500_1500_sd_neg;-0.04354570062837738;0.43807101477062177;0.18435600197727817;-0.09855806568978218;0.34324616822851195;Factor2
speech_ratio_neg;-0.09872773098023345;0.15597187148163025;0.1414817287329791;0.1440892149526641;0.8457966730356645;Factor5
utterance_durations_sum_neg;-0.03394608938566129;0.0069530206566806784;-0.010356780746868622;0.6949100045460926;0.22143063478844546;Factor4
utterance_durations_mean_neg;-0.25361706074823875;-0.080500568954983;0.18482575730267117;0.23913047736760662;0.69738383405557;Factor5
utterance_durations_sd_neg;-0.20603808359044234;-0.06450034575541354;0.16910553297485467;0.24406708182249748;0.6854075302570788;Factor5
vocal_tremor_neg;-0.015773883901730044;-0.23614307328120854;0.11554780359847266;-0.11425245686471393;-0.29935284018075964;Factor3
pitch_max_neg;0.432934166940688;0.3979726595857756;-0.1897411631727116;0.18223450887666165;0.045803134594395396;Factor1
pitch_min_neg;0.2936690283695255;0.4497937939831474;-0.35793512919504084;-0.3822031522808865;-0.25727598495892035;Factor2
pitch_mean_neg;0.8834320715467991;0.3130364237796794;0.2180662510243208;-0.0356352814645384;0.07164418215854318;Factor1
pitch_std_neg;0.8384500209664625;0.23406011926575365;0.0635423425330854;-0.03888691473928791;-0.11783128561851801;Factor1
pitch_range_neg;0.42737825030362786;0.38675912895387105;-0.17954011357234334;0.1969469467133585;0.055004527248850126;Factor1
pitch_coefficient_of_variation_neg;0.649848199771979;0.11486642425881846;-0.04515962336654045;-0.047111779282318945;-0.18017906225071564;Factor1
pitch_skewness_neg;-0.5169370634873879;0.11184957665393169;-0.5176595246924248;-0.012722494647339202;-0.06268508578997327;Factor2
pitch_kurtosis_neg;-0.36172799751787565;0.2139150461065445;-0.34091308728655684;0.07264260588814851;0.018713396038541198;Factor2
pitch_first_quartile_neg;0.5444263629432398;0.38674025196537914;0.17923622954672597;-0.09606326331820302;0.31190287950986584;Factor1
pitch_second_quartile_neg;0.8393597605415846;0.32101853759548815;0.2908144731659807;-0.00042699154492941484;0.05324425627773014;Factor1
pitch_third_quartile_neg;0.9307358369763846;0.2075382786963198;0.2200556156569398;-0.020691981358045335;0.0034030634604767496;Factor1
pitch_q2_q1_range_neg;0.7257583649969994;0.11560527434887403;0.2574149961418076;0.08743857141866529;-0.20878389481806614;Factor1
pitch_q3_q2_range_neg;0.5291249563830852;-0.2422921111488758;-0.1250996079946489;-0.06053618891652317;-0.13573062754243775;Factor1
pitch_q3_q1_range_neg;0.8103868849723909;-0.012298906723503485;0.1528910377318074;0.04441455650116692;-0.22642308213404053;Factor1
pitch_percentile_1_neg;0.42731323795821896;0.42827547416500594;-0.3580305442918444;-0.19442794104898184;-0.0551443908833766;Factor2
pitch_percentile_99_neg;0.6985100997233944;0.3290470592356612;-0.03803469081805057;-0.08989965235251395;-0.040928775519389;Factor1
pitch_percentile_1_99_range_neg;0.6830577668721152;0.3033150210478686;-0.00944879356929329;-0.07633924713741232;-0.037436703564305104;Factor1
pitch_percentile_20_neg;0.46572510650873045;0.3389009090989798;0.15833799401807344;-0.08632011965608417;0.39404754930271685;Factor1
pitch_percentile_80_neg;0.9312742148035654;0.20845312118782566;0.2043249017311438;-0.02103536250822278;0.001761709033749009;Factor1
pitch_percentile_20_80_range_neg;0.8795431219306725;0.08521768859435114;0.1650490666515491;0.0177112670059585;-0.1902507541962482;Factor1
pitch_linear_regression_offset_neg;0.8722358243897378;0.2860397914464242;0.23253162757095908;-0.12572099224077835;0.07022558606556872;Factor1
pitch_linear_regression_slope_neg;-0.22921644111607292;-0.00109508058786151;-0.11160125762531373;0.3927598842895774;0.043254912813362766;Factor4
pitch_linear_regression_mse_neg;0.7322975194334728;0.24268008365823113;0.0004756722806217846;-0.024855841844777665;-0.1841728964418211;Factor1
adjective_rate_neg;0.1598829417812663;-0.11048138050808391;0.08233512475110115;-0.3902774133584472;0.08215513542630709;Factor1
adposition_rate_neg;0.05295933040771892;0.04583812306560088;-0.051312182207236275;-0.11607617116126755;0.26580254528715247;Factor5
adverb_rate_neg;0.040281683896683615;-0.14688195009555163;0.062261586893041405;0.5485412865799387;-0.044843437362497615;Factor4
brunets_index_neg;0.02877349512225104;-0.06645028524138664;-0.034712923968048724;0.9139442275325143;0.15028737796933023;Factor4
conjunction_rate_neg;0.10124746388765932;0.0007527345800830603;-0.03248861344060804;0.21114683093624717;-0.014943913426943475;Factor4
determiner_rate_neg;-0.03937614073851753;0.07765515761695234;-0.06883498546748429;-0.5004289495466331;0.1452721313758601;Factor5
honore_stat_neg;0.04597109027599166;-0.06298295818191368;0.05933671124070816;-0.37569727085179655;0.05587091121928524;Factor3
inflected_verb_rate_neg;0.18220098691577685;-0.07081910645961355;-0.061274633679590844;-0.04506611813201852;-0.18458205242396258;Factor1
mean_number_subordinate_clauses_neg;0.0006334753669273663;-0.031905980210433955;0.19848460336561746;-0.31013362641765135;-0.1709865242128569;Factor3
mean_sentiment_neg;0.06837727688671158;-0.13288794809988275;-0.1367772387944122;0.4929062640890762;0.10218771421308333;Factor4
negative_sentence_ratio_neg;-0.009484737267203544;0.07927930696964738;0.13684799112188692;-0.2537007816560355;-0.012227018094595551;Factor3
neutral_sentence_ratio_neg;-0.09600394939252205;0.08312316664207924;-0.010207590989667326;-0.3754466174376454;-0.14822504535899547;Factor2
noun_rate_neg;0.0025438335948600914;0.045981778536562136;0.04061139750153013;-0.5330257788751213;0.11337696448703416;Factor5
number_consecutive_repetitions_neg;-0.11666293745723356;0.011613681667663769;-0.06669627955837817;0.23567143432026577;-0.005365236150209004;Factor4
positive_sentence_ratio_neg;0.09867698796960177;-0.14266008965644933;-0.10184760856631853;0.5618208291396598;0.1492541815044639;Factor4
pronoun_rate_neg;-0.10398192736370686;-0.05203565329906991;-0.00682388969014288;0.42482848322886196;0.0031367104661799866;Factor4
proper_noun_rate_neg;-0.04343927384945858;0.03840970035882387;-0.15295498358689072;-0.2744711739953233;-0.15954649928800316;Factor2
proportion_verb_phrase_with_objects_neg;-0.09492607173631393;-0.11712869206070935;0.047252933407150956;0.11250435023191434;-0.17239202309637797;Factor4
proportion_verb_phrase_with_subjects_neg;0.06187072117832034;0.01949786433004522;-0.14470020908327347;0.17734966117871076;0.15705664043132117;Factor4
