primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
3.0;m;033_o_m_s_a.jpg;sad;7.0;happy_126.3.wmv;happy;9.0;incongruent;130.0;150.0;220.47504181707743;;;;;0;29;29;29;;;;;;;465.78260819998104;None;467.8405350999674;468.157330899965;469.29037669999525;469.3071368999663;471.28240530000767;None;None;0;471.28240530000767;None;;;;;;;;7;;;;;;;472.83295630000066;None;None;None;[];472.83295630000066;None;"['9', '9']";"[0.5092409999924712, 1.6451016999781132]";472.83295630000066;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
4.0;m;004_o_m_s_a.jpg;sad;7.0;sad_2.4ns.avi;sad;7.0;congruent;130.0;160.0;153.9424691910033;;;;;0;30;30;30;;;;;;;475.84052610001527;None;477.3319373999839;477.6486651999876;478.80709089996526;478.8236239000107;486.74040730000706;None;None;0;486.74040730000706;None;;;;;;;;3;;;;;;;488.2983760999632;None;None;None;[];488.2983760999632;None;"['7', '7', '7']";"[0.34756179997930303, 0.635501499986276, 1.0195748999831267]";488.2983760999632;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
8.0;m;008_y_m_h_a.jpg;happy;9.0;sad_111.1.wmv;sad;7.0;incongruent;120.0;160.0;182.0123397825363;;;;;0;31;31;31;;;;;;;491.3068806999945;None;493.0315308999852;493.34816320001846;494.4733530000085;494.48997960001;496.4816636000178;None;None;0;496.4816636000178;None;;;;;;;;3;;;;;;;498.031345699972;None;None;None;[];498.031345699972;None;"['7', '7']";"[1.038733699999284, 1.7745746000437066]";498.031345699972;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;140.0;150.0;145.41905773865074;;;;;0;32;32;32;;;;;;;501.03972080000676;None;502.50617639999837;502.8229429000057;504.0061553000123;504.0227972000139;518.4393350000028;None;None;0;518.4393350000028;None;;;;;;;;6;;;;;;;519.9890797999687;None;None;None;[];519.9890797999687;None;['9'];[0.36885650001931936];519.9890797999687;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_131.2.wmv;happy;9.0;incongruent;130.0;150.0;163.9874412082805;;;;;0;33;33;33;;;;;;;522.9890194999753;None;524.5972585999989;524.9141921999981;526.0472971000127;526.0640614000149;528.0474693999859;None;None;0;528.0474693999859;None;;;;;;;;6;;;;;;;529.5971046999912;None;None;None;[];529.5971046999912;None;['9'];[2.680633799987845];529.5971046999912;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;140.0;150.0;207.9053492649655;;;;;0;34;34;34;;;;;;;532.5973566999892;None;534.51367939997;534.8304056999623;535.9636621999671;535.98070309998;538.4553691999754;None;None;0;538.4553691999754;None;;;;;;;;4;;;;;;;540.0052848000196;None;None;None;[];540.0052848000196;None;['7'];[1.2249451999668963];540.0052848000196;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;218.0520785974414;;;;;0;35;35;35;;;;;;;543.0053401999758;None;545.0383626999683;545.3551775999949;546.4884561999934;546.5054672000115;548.4886479999986;None;None;0;548.4886479999986;None;;;;;;;;7;;;;;;;550.0383319999673;None;None;None;[];550.0383319999673;None;"['9', '9']";"[0.42370690003735945, 1.287735000019893]";550.0383319999673;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
2.0;f;012_o_f_h_a.jpg;happy;9.0;sad_113.1.wmv;sad;7.0;incongruent;120.0;160.0;192.53137802384992;;;;;0;36;36;36;;;;;;;553.0384400999756;None;554.8464424000122;555.1632082000142;556.2881742999889;556.3047592999646;558.2966044999775;None;None;0;558.2966044999775;None;;;;;;;;3;;;;;;;559.8465331000043;None;None;None;[];559.8465331000043;None;"['7', '7']";"[0.4390720999799669, 1.2875416000024416]";559.8465331000043;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;140.0;150.0;159.76384515822056;;;;;0;37;37;37;;;;;;;562.8465030000079;None;564.3711461999919;564.6878720999812;565.8294969999697;565.8462321999832;570.3968654999626;None;None;0;570.3968654999626;None;;;;;;;;7;;;;;;;572.3131550999824;None;None;None;[];572.3131550999824;None;"['9', '9']";"[0.412805899977684, 0.8128622000222094]";572.3131550999824;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_64.3ns.avi;sad;7.0;congruent;130.0;160.0;172.91738127163183;;;;;0;38;38;38;;;;;;;575.3211633000174;None;576.9708316000178;577.2875605999725;578.4456493000034;578.4623925000196;583.4209159999737;None;None;0;583.4209159999737;None;;;;;;;;3;;;;;;;584.9707898999914;None;None;None;[];584.9707898999914;None;"['7', '7']";"[0.8833056999719702, 1.5631309999735095]";584.9707898999914;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
6.0;m;016_y_m_h_a.jpg;happy;9.0;sad_114.1.wmv;sad;7.0;incongruent;120.0;160.0;196.03539454983184;;;;;0;39;39;39;;;;;;;587.9706348999753;None;589.8121826999704;590.1287988999975;591.2619748999714;591.2788209000137;593.2622183999629;None;None;0;593.2622183999629;None;;;;;;;;5;;;;;;;594.812681099982;None;None;None;[];594.812681099982;None;None;;594.812681099982;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
6.0;m;016_y_m_s_a.jpg;sad;7.0;sad_8.3ns.avi;sad;7.0;congruent;130.0;160.0;139.87174075953956;;;;;0;40;40;40;;;;;;;597.845576199994;None;599.2287171999924;599.5452906999853;600.7037269999855;600.7202857999946;608.436795799993;None;None;0;608.436795799993;None;;;;;;;;3;;;;;;;609.9865366999875;None;None;None;[];609.9865366999875;None;"['7', '7', '7', '7']";"[0.41959040000801906, 0.8194819000200368, 1.1714728000224568, 1.7156822999822907]";609.9865366999875;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;163.89298117292617;;;;;0;41;41;41;;;;;;;612.9867286999943;None;614.5697725999635;614.8865375000169;616.036596299964;616.0531837000162;619.1865723999799;None;None;0;619.1865723999799;None;;;;;;;;2;;;;;;;620.7364668999799;None;None;None;[];620.7364668999799;None;"['7', '7', '7']";"[0.31753520003985614, 0.7176498000044376, 1.4055756999878213]";620.7364668999799;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
3.0;m;013_y_m_h_a.jpg;happy;9.0;happy_9.1ns.avi;happy;9.0;congruent;140.0;150.0;128.37211756912527;;;;;0;42;42;42;;;;;;;623.7364990999922;None;625.0199726999854;625.3362191999913;626.4779651999706;626.4946272000088;629.702795499994;None;None;0;629.702795499994;None;;;;;;;;6;;;;;;;631.2528192999889;None;None;None;[];631.2528192999889;None;['9'];[0.5051463000127114];631.2528192999889;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
7.0;m;027_o_m_h_a.jpg;happy;9.0;sad_117.1.wmv;sad;7.0;incongruent;120.0;160.0;163.19466748508617;;;;;0;43;43;43;;;;;;;634.2526689000078;None;635.8274977999972;636.1442473999923;637.269294800004;637.2859470999683;639.2859182999819;None;None;0;639.2859182999819;None;;;;;;;;5;;;;;;;640.8356531999889;None;None;None;[];640.8356531999889;None;None;;640.8356531999889;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
