primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;267.0375212999061;None;268.47891629999503;268.7956596999429;269.93733430001885;269.95395460003056;272.0124863998499;None;8;0;0.4434498001355678;272.0124863998499;None;;;;;;;;5;;;;;;;273.57058689999394;None;None;None;[];273.57058689999394;None;None;273.57058689999394;None;;;;S11335;2022_Mar_30_2123;VideoMask;2021.1.2;119.97010327848136;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;276.595232399879;None;277.8536936000455;278.17039310000837;279.3537653000094;279.37042189994827;285.0952691999264;None;9;0;0.8246177998371422;285.0952691999264;None;;;;;;;;8;;;;;;;286.64506229991093;None;None;None;[];286.64506229991093;None;"['9', '9', '9']";286.64506229991093;None;"[0.37090950016863644, 0.5947632000315934, 0.7787519001867622]";;;S11335;2022_Mar_30_2123;VideoMask;2021.1.2;119.97010327848136;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;289.6451697999146;None;291.30334250000305;291.61999349994585;292.76165809994563;292.778324799845;300.88653849996626;None;None;0;;300.88653849996626;None;;;;;;;;4;;;;;;;302.4363780999556;None;None;None;[];302.4363780999556;None;"['7', '7', '9']";302.4363780999556;None;"[0.08369629993103445, 0.7794996998272836, 1.4195110998116434]";;;S11335;2022_Mar_30_2123;VideoMask;2021.1.2;119.97010327848136;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;305.4364403998479;None;307.39433009992354;307.71107760001905;308.8611190998927;308.87786909984425;323.3273392999545;None;9;0;0.8565085998270661;323.3273392999545;None;;;;;;;;7;;;;;;;324.87727149995044;None;None;None;[];324.87727149995044;None;"['9', '9', '9', '9']";324.87727149995044;None;"[0.8025218998081982, 1.2106645999010652, 1.6668650000356138, 2.2746090998407453]";;;S11335;2022_Mar_30_2123;VideoMask;2021.1.2;119.97010327848136;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;327.8772588998545;None;329.3688298999332;329.6852996998932;330.8771881998982;330.8944452998694;333.835341299884;None;9;0;0.5088037999812514;333.835341299884;None;;;;;;;;7;;;;;;;335.3852329000365;None;None;None;[];335.3852329000365;None;"['9', '9']";335.3852329000365;None;"[0.33500479999929667, 0.6067547001875937]";;;S11335;2022_Mar_30_2123;VideoMask;2021.1.2;119.97010327848136;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;338.3853082000278;None;339.8683936998714;340.18507579993457;341.34328749985434;341.36009279987775;343.9433289000299;None;None;0;;343.9433289000299;None;;;;;;;;5;;;;;;;345.49312680005096;None;None;None;[];345.49312680005096;None;None;345.49312680005096;None;;;;S11335;2022_Mar_30_2123;VideoMask;2021.1.2;119.97010327848136;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;158.9411396037211;s_s;;;;;0;14;14;14;;;;;;;348.5182894000318;None;350.05985299986787;350.37641919986345;351.55959149985574;351.5762374000624;358.93456179997884;None;7;0;0.9372820002026856;358.93456179997884;None;;;;;;;;2;;;;;;;360.4844603999518;None;None;None;[];360.4844603999518;None;"['7', '7', '7', '7']";360.4844603999518;None;"[0.41144849988631904, 0.6512173998635262, 0.883255299879238, 1.3313823000062257]";;;S11335;2022_Mar_30_2123;VideoMask;2021.1.2;119.97010327848136;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;180.59976631384873;h_s;;;;;0;15;15;15;;;;;;;363.49295350001194;None;365.20925539988093;365.5259471000172;366.6510485999752;366.6676278000232;368.65923239989206;None;8;0;1.0846639999654144;368.65923239989206;None;;;;;;;;5;;;;;;;370.2092176999431;None;None;None;[];370.2092176999431;None;None;370.2092176999431;None;;;;S11335;2022_Mar_30_2123;VideoMask;2021.1.2;119.97010327848136;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_133.3.wmv;happy;9.0;incongruent;130.0;150.0;152.577966552593;s_h;;;;;0;16;16;16;;;;;;;373.23389729997143;None;374.7173418998718;375.0339887998998;376.16737119993195;376.1837905999273;378.1672894998919;None;9;0;0.8326435000635684;378.1672894998919;None;;;;;;;;8;;;;;;;379.717232799856;None;None;None;[];379.717232799856;None;"['9', '9', '9']";379.717232799856;None;"[0.2670898998621851, 0.5065566999837756, 0.6988284999970347]";;;S11335;2022_Mar_30_2123;VideoMask;2021.1.2;119.97010327848136;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_128.1.wmv;sad;7.0;incongruent;120.0;160.0;171.0492454518585;h_s;;;;;0;17;17;17;;;;;;;382.71725309989415;None;384.3586701999884;384.675334099913;385.80855660000816;385.82531709992327;387.8087470999453;None;7;0;0.8552075000479817;387.8087470999453;None;;;;;;;;3;;;;;;;389.3668303999584;None;None;None;[];389.3668303999584;None;"['7', '7']";389.3668303999584;None;"[0.4488570000976324, 0.8969938999507576]";;;S11335;2022_Mar_30_2123;VideoMask;2021.1.2;119.97010327848136;
