primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;key_resp.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
3.0;m;013_y_m_h_a.jpg;happy;9.0;sad_113.2.wmv;sad;7.0;incongruent;120.0;160.0;217.4973891947951;h_s;;;;;0;36;36;36;;;;;;;480.98264609999023;None;483.1492915999843;483.4657723000273;484.5993157000048;484.61591549997684;486.59916009998415;None;None;0;486.59916009998415;None;;;;;;;;5;;;;;;;488.1491672999691;None;None;None;[];488.1491672999691;None;None;;488.1491672999691;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_25.1ns.avi;happy;9.0;congruent;120.0;150.0;216.63044503818386;h_h;;;;;0;37;37;37;;;;;;;491.16557459998876;None;493.5989201000193;493.91553480003495;495.04886320000514;495.06590729998425;498.7406110999873;None;None;0;498.7406110999873;None;;;;;;;;9;;;;;;;500.29855840001255;None;None;None;[];500.29855840001255;None;"['9', '9', '9', '9', '9', '9']";"[0.44956009997986257, 0.7934521000133827, 1.153514500008896, 1.449442800018005, 1.6974473999580368, 1.8814055999973789]";500.29855840001255;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_131.2.wmv;happy;9.0;incongruent;130.0;150.0;181.38407540847405;s_h;;;;;0;38;38;38;;;;;;;503.29880910005886;None;505.07343830005266;505.3901890000561;506.56507530005183;506.5819010999985;508.5234284000471;None;9;0;508.5234284000471;None;;;;;;;;6;;;;;;;510.0901113;None;None;None;[];510.0901113;None;['9'];[1.1460781000787392];510.0901113;None;0.4247119000647217;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
0.0;f;040_y_f_h_a.jpg;happy;9.0;happy_24.3ns.avi;happy;9.0;congruent;120.0;150.0;213.25460698950434;h_h;;;;;0;39;39;39;;;;;;;513.0900215000147;None;515.1982836000388;515.5148598999949;516.6649427000666;516.6815255000256;518.5731446000282;None;None;0;518.5731446000282;None;;;;;;;;7;;;;;;;520.1229105000384;None;None;None;[];520.1229105000384;None;"['9', '9', '9']";"[0.4573924000142142, 0.9533310999395326, 1.5052253999747336]";520.1229105000384;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_139.1.wmv;happy;9.0;incongruent;130.0;150.0;162.31500468041804;s_h;;;;;0;40;40;40;;;;;;;523.1230566999875;None;524.7563397000777;525.0730958000058;526.2151100999909;526.2313678000355;528.206312000053;None;None;0;528.206312000053;None;;;;;;;;9;;;;;;;529.7561699000653;None;None;None;[];529.7561699000653;None;"['9', '9', '9', '9']";"[0.43202059995383024, 0.8159096000017598, 1.119851699913852, 1.5757922999328002]";529.7561699000653;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
0.0;f;030_o_f_h_a.jpg;happy;9.0;happy_24.1ns.avi;happy;9.0;congruent;120.0;150.0;168.36256624020774;h_h;;;;;0;41;41;41;;;;;;;532.7559950000141;None;534.6893399000401;535.005914599984;536.1475127000595;536.1641788000707;539.4642901000334;None;None;0;539.4642901000334;None;;;;;;;;9;;;;;;;541.0139312000247;None;None;None;[];541.0139312000247;None;"['9', '9', '9', '9']";"[0.32609869993757457, 0.5902929999865592, 0.8141581999370828, 1.2061820999952033]";541.0139312000247;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
2.0;f;012_o_f_h_a.jpg;happy;9.0;sad_113.1.wmv;sad;7.0;incongruent;120.0;160.0;177.44551734737394;h_s;;;;;0;42;42;42;;;;;;;544.0141118000029;None;545.7305472000735;546.0472364000743;547.1805354000535;547.1973313000053;549.1805269999895;None;None;0;549.1805269999895;None;;;;;;;;5;;;;;;;550.7303449000465;None;None;None;[];550.7303449000465;None;None;;550.7303449000465;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_64.5ns.avi;sad;7.0;congruent;130.0;160.0;130.55717223801247;s_s;;;;;0;43;43;43;;;;;;;553.7637009000173;None;555.6719952999847;555.9887010999955;557.138650799985;557.1553375000367;563.7133725000313;None;7;0;563.7133725000313;None;;;;;;;;1;;;;;;;565.2631580000743;None;None;None;[];565.2631580000743;None;"['7', '7', '7', '7']";"[0.3090486000292003, 0.5328724000137299, 0.7249344999436289, 0.9169188999803737]";565.2631580000743;None;0.8748265999602154;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
7.0;m;027_o_m_h_a.jpg;happy;9.0;sad_117.1.wmv;sad;7.0;incongruent;120.0;160.0;181.28665202824095;h_s;;;;;0;44;44;44;;;;;;;568.2633927999996;None;570.0381279999856;570.3548164999811;571.4887819000287;571.5132864000043;573.5048208000371;None;None;0;573.5048208000371;None;;;;;;;;4;;;;;;;575.0547753999708;None;None;None;[];575.0547753999708;None;['7'];[0.4056015000678599];575.0547753999708;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
3.0;m;033_o_m_s_a.jpg;sad;7.0;happy_126.3.wmv;happy;9.0;incongruent;130.0;150.0;198.85252030535366;s_h;;;;;0;45;45;45;;;;;;;578.0546277000103;None;580.0046122999629;580.3211669999873;581.4628155999817;581.479525999981;583.4634825000539;None;None;0;583.4634825000539;None;;;;;;;;6;;;;;;;585.1628310000524;None;None;None;[];585.1628310000524;None;['9'];[0.537302500102669];585.1628310000524;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
