primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
7.0;m;027_o_m_h_a.jpg;happy;9.0;sad_117.1.wmv;sad;7.0;incongruent;120.0;160.0;181.28665202824095;h_s;;;;;0;44;44;44;;;;;;;708.2927131000906;None;710.0175763000734;710.3343641000101;711.4679707000032;711.4926132000983;713.4675098001026;None;8;0;1.2480763000203297;713.4675098001026;None;;;;;;;;5;;;;;;;715.1008735001087;None;None;None;[];715.1008735001087;None;None;715.1008735001087;None;;;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
3.0;m;033_o_m_s_a.jpg;sad;7.0;happy_126.3.wmv;happy;9.0;incongruent;130.0;150.0;198.85252030535366;s_h;;;;;0;45;45;45;;;;;;;718.1255607000785;None;719.9838881000178;720.3006685000146;721.4588870001025;721.4926307999995;723.4339070999995;None;9;0;0.6898454999318346;723.4339070999995;None;;;;;;;;7;;;;;;;725.0422144000186;None;None;None;[];725.0422144000186;None;"['9', '9', '9']";725.0422144000186;None;"[0.3776257000863552, 0.641582400072366, 1.3694840000243858]";;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_136.1.wmv;sad;7.0;incongruent;120.0;160.0;176.97002883463455;h_s;;;;;0;46;46;46;;;;;;;728.0421408000402;None;729.716931700008;730.0336269000545;731.166936499998;731.1837393000023;733.1669658001047;None;7;0;1.3409052999923006;733.1669658001047;None;;;;;;;;3;;;;;;;734.725247800001;None;None;None;[];734.725247800001;None;"['7', '7', '7', '7']";734.725247800001;None;"[0.9105445999884978, 1.3268369999714196, 1.70251279999502, 2.3024107000092044]";;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
9.0;f;019_m_f_h_a.jpg;happy;9.0;happy_10.1ns.avi;happy;9.0;congruent;120.0;150.0;157.2463435658512;h_h;;;;;0;47;47;47;;;;;;;737.7335032999981;None;739.2584429000271;739.5748429000378;740.7081870000111;740.7250838000327;748.1499714000383;None;9;0;0.6138488000724465;748.1499714000383;None;;;;;;;;5;;;;;;;749.8997429000447;None;None;None;[];749.8997429000447;None;None;749.8997429000447;None;;;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_2.2ns.avi;happy;9.0;congruent;120.0;150.0;206.34800317295262;h_h;;;;;0;48;48;48;;;;;;;752.9163867000025;None;754.8744510000106;755.1912169000134;756.3829914000817;756.3995034000836;768.5243444000371;None;9;0;0.543573800008744;768.5243444000371;None;;;;;;;;7;;;;;;;770.1074963000137;None;None;None;[];770.1074963000137;None;"['9', '9', '9']";770.1074963000137;None;"[0.3522897999500856, 0.7923194000031799, 1.3363111999351531]";;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
3.0;m;033_o_m_h_a.jpg;happy;9.0;happy_24.2ns.avi;happy;9.0;congruent;120.0;150.0;167.9423847659953;h_h;;;;;0;49;49;49;;;;;;;773.1159274000674;None;774.7072264000308;775.0240025999956;776.1906160000945;776.2076035001082;779.8905889000744;None;9;0;0.7290961999678984;779.8905889000744;None;;;;;;;;6;;;;;;;781.4571284000995;None;None;None;[];781.4571284000995;None;['9'];781.4571284000995;None;[0.40255230001639575];;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
1.0;f;021_o_f_s_a.jpg;sad;7.0;happy_61.2ns.avi;happy;9.0;incongruent;130.0;150.0;210.94664004826666;s_h;;;;;0;50;50;50;;;;;;;784.4570816000924;None;786.4068749001017;786.7236614000285;787.8819976000814;787.8986702000257;792.3818466000957;None;9;0;0.5099189999746159;792.3818466000957;None;;;;;;;;5;;;;;;;794.0485771000385;None;None;None;[];794.0485771000385;None;None;794.0485771000385;None;;;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
4.0;m;004_o_m_s_a.jpg;sad;7.0;sad_2.4ns.avi;sad;7.0;congruent;130.0;160.0;153.02079367163634;s_s;;;;;0;51;51;51;;;;;;;797.0733073001029;None;798.5733321000589;798.8898471000139;800.0398959000595;800.0565988000017;807.9814894000301;None;7;0;0.7182019000174478;807.9814894000301;None;;;;;;;;4;;;;;;;809.539594000089;None;None;None;[];809.539594000089;None;['7'];809.539594000089;None;[1.1760959000093862];;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_1.2ns.avi;happy;9.0;congruent;120.0;150.0;210.98946429383824;h_h;;;;;0;52;52;52;;;;;;;812.5395367000019;None;814.5310785000911;814.8478002001066;816.014490300091;816.0311572001083;828.7807892001001;None;9;0;0.47941169992554933;828.7807892001001;None;;;;;;;;7;;;;;;;830.3307047000853;None;None;None;[];830.3307047000853;None;"['9', '9']";830.3307047000853;None;"[0.2571928999386728, 0.6009820000035688]";;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_52.2ns.avi;happy;9.0;incongruent;130.0;150.0;172.57202848318138;s_h;;;;;0;53;53;53;;;;;;;833.3306536000455;None;834.9554203000152;835.2721268000314;836.438658200088;836.4553387000924;839.9554371000268;None;9;0;0.6883665000787005;839.9554371000268;None;;;;;;;;6;;;;;;;841.5886633000337;None;None;None;[];841.5886633000337;None;['9'];841.5886633000337;None;[0.6552220000885427];;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
9.0;f;019_m_f_s_a.jpg;sad;7.0;happy_61.1ns.avi;happy;9.0;incongruent;130.0;150.0;181.3003220572762;s_h;;;;;0;54;54;54;;;;;;;844.5887041999958;None;846.3219241000479;846.6384007000597;847.8058531000279;847.8388320000377;855.1634471000871;None;9;0;0.6564300000900403;855.1634471000871;None;;;;;;;;5;;;;;;;856.721583000035;None;None;None;[];856.721583000035;None;None;856.721583000035;None;;;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_133.1.wmv;sad;7.0;incongruent;120.0;160.0;198.86251500867985;h_s;;;;;0;55;55;55;;;;;;;859.7548382000532;None;861.6130099000875;861.9296735000098;863.0548435000237;863.0714829000644;865.0629820000613;None;7;0;0.5488543000537902;865.0629820000613;None;;;;;;;;4;;;;;;;866.6130070000654;None;None;None;[];866.6130070000654;None;['7'];866.6130070000654;None;[0.5747874999651685];;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_128.2.wmv;sad;7.0;incongruent;120.0;160.0;206.10005857915363;h_s;;;;;0;56;56;56;;;;;;;869.6128673000494;None;871.5375800000038;871.8543963000411;873.0294297001092;873.0459041000577;874.9875770000508;None;None;0;;874.9875770000508;None;;;;;;;;3;;;;;;;876.5374645000556;None;None;None;[];876.5374645000556;None;"['7', '7']";876.5374645000556;None;"[0.010467899963259697, 0.7304655000334606]";;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
1.0;f;021_o_f_s_a.jpg;sad;7.0;sad_9.5ns.avi;sad;7.0;congruent;130.0;160.0;206.16642757875042;s_s;;;;;0;57;57;57;;;;;;;879.5465049000923;None;881.4707544000121;881.787456799997;883.0291240001097;883.0455835000612;888.6457914001076;None;None;0;;888.6457914001076;None;;;;;;;;5;;;;;;;890.2122720000334;None;None;None;[];890.2122720000334;None;None;890.2122720000334;None;;;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
1.0;f;021_o_f_h_a.jpg;happy;9.0;happy_12.1ns.avi;happy;9.0;congruent;120.0;150.0;132.59080005900228;h_h;;;;;0;58;58;58;;;;;;;893.2287195000099;None;894.553598400089;894.8703630000819;896.0370894001098;896.0537327000638;903.6201219001086;None;9;0;1.1039882999612018;903.6201219001086;None;;;;;;;;4;;;;;;;905.1618321000133;None;None;None;[];905.1618321000133;None;['7'];905.1618321000133;None;[1.4499936999054626];;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
3.0;m;013_y_m_s_a.jpg;sad;7.0;happy_56.2ns.avi;happy;9.0;incongruent;130.0;150.0;163.39234110935848;s_h;;;;;0;59;59;59;;;;;;;908.1700719000073;None;909.7281346000964;910.0449581000721;911.2536197000882;911.2783173000207;916.2032479000045;None;9;0;0.728747499990277;916.2032479000045;None;;;;;;;;6;;;;;;;917.9862184000667;None;None;None;[];917.9862184000667;None;['9'];917.9862184000667;None;[0.35383110004477203];;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;920.9781046001008;None;;;;;;
