primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;159.78913560020737;None;161.2304698000662;161.5476670002099;162.68872780003585;162.71391540020704;164.74715710012242;None;7;0;164.74715710012242;None;;;;;;;;5;;;;0.9118435001000762;;;166.29711310006678;None;None;None;[];166.29711310006678;None;None;166.29711310006678;None;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;169.33037350000814;None;170.5968796000816;170.91366480011493;172.0884126999881;172.10512930015102;177.83852670015767;None;8;0;177.83852670015767;None;;;;;;;;5;;;;0.5962815000675619;;;179.3883933001198;None;None;None;[];179.3883933001198;None;None;179.3883933001198;None;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;182.40479720011353;None;184.07148570008576;184.3881741000805;185.52225460018963;185.54684900003485;193.66365670016967;None;8;0;193.66365670016967;None;;;;;;;;5;;;;0.9159389000851661;;;195.65446510002948;None;None;None;[];195.65446510002948;None;None;195.65446510002948;None;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;198.6795051000081;None;200.6375679001212;200.95432750019245;202.1043718000874;202.12106180004776;216.5706551000476;None;8;0;216.5706551000476;None;;;;;;;;5;;;;0.46420990000478923;;;218.120335200103;None;None;None;[];218.120335200103;None;None;218.120335200103;None;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;221.15376700018533;None;222.6702492001932;222.98690650006756;224.128672900144;224.14539399999194;227.1370189001318;None;9;0;227.1370189001318;None;;;;;;;;7;;;;1.0817476001102477;;;228.68689700006507;None;None;None;[];228.68689700006507;None;"['9', '9']";228.68689700006507;None;"[1.020150899887085, 1.7161337998695672]";;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;231.68680140003562;None;233.17871050001122;233.4951216999907;234.64499070006423;234.66170280007645;237.25329480017535;None;8;0;237.25329480017535;None;;;;;;;;5;;;;1.2855316000059247;;;238.80317250010557;None;None;None;[];238.80317250010557;None;None;238.80317250010557;None;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;158.9411396037211;s_s;;;;;0;14;14;14;;;;;;;241.83633730001748;None;243.37813260010444;243.69479330000468;244.86132390005514;244.8779938002117;252.25290840002708;None;7;0;252.25290840002708;None;;;;;;;;4;;;;0.6299169999547303;;;253.8026956000831;None;None;None;[];253.8026956000831;None;['7'];253.8026956000831;None;[0.6723082999233156];;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;180.59976631384873;h_s;;;;;0;15;15;15;;;;;;;256.8109622001648;None;258.5192352000158;258.83583890018053;259.960864600027;259.97755150008015;261.9692250001244;None;8;0;261.9692250001244;None;;;;;;;;5;;;;1.4498447999358177;;;263.51903190021403;None;None;None;[];263.51903190021403;None;None;263.51903190021403;None;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_133.3.wmv;happy;9.0;incongruent;130.0;150.0;152.577966552593;s_h;;;;;0;16;16;16;;;;;;;266.53551060007885;None;268.02714840020053;268.34390390012413;269.46893620002083;269.4855706000235;271.47721080016345;None;9;0;271.47721080016345;None;;;;;;;;6;;;;1.1415152999106795;;;273.1104510000441;None;None;None;[];273.1104510000441;None;['9'];273.1104510000441;None;[0.4765359000302851];;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_128.1.wmv;sad;7.0;incongruent;120.0;160.0;171.0492454518585;h_s;;;;;0;17;17;17;;;;;;;276.1188406001311;None;277.7518073001411;278.068559900159;279.2018353000749;279.2186126001179;281.20195650006644;None;7;0;281.20195650006644;None;;;;;;;;5;;;;0.7689471000339836;;;282.75179230002686;None;None;None;[];282.75179230002686;None;None;282.75179230002686;None;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
1.0;f;021_o_f_h_a.jpg;happy;9.0;sad_116.1.wmv;sad;7.0;incongruent;120.0;160.0;184.06847610053055;h_s;;;;;0;18;18;18;;;;;;;285.7849625002127;None;287.5356049002148;287.8515798000153;288.98489240021445;289.0015521000605;290.9850184000097;None;7;0;290.9850184000097;None;;;;;;;;5;;;;0.5778271998278797;;;292.5265231002122;None;None;None;[];292.5265231002122;None;None;292.5265231002122;None;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;157.40741103039684;s_h;;;;;0;19;19;19;;;;;;;295.5514462001156;None;297.0597827001475;297.3763550000731;298.55115960002877;298.56805290002376;302.901224500034;None;9;0;302.901224500034;None;;;;;;;;8;;;;0.6936444998718798;;;304.4427993001882;None;None;None;[];304.4427993001882;None;"['9', '9', '9']";304.4427993001882;None;"[1.191791099961847, 1.5680860001593828, 2.2480735999997705]";;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
8.0;f;028_y_f_s_a.jpg;sad;7.0;happy_122.3.wmv;happy;9.0;incongruent;130.0;150.0;171.8670540936116;s_h;;;;;0;20;20;20;;;;;;;307.44289640011266;None;309.09253730019554;309.4094316000119;310.5509489001706;310.56763610010967;312.5425587000791;None;8;0;312.5425587000791;None;;;;;;;;5;;;;0.940225400030613;;;314.0925058000721;None;None;None;[];314.0925058000721;None;None;314.0925058000721;None;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
