primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;266.7011501000379;None;268.15102849999676;268.46769790002145;269.62614240002586;269.6425611000159;271.66768950002734;None;7;0;271.66768950002734;None;;;;;;;;1;;;;0.7975544000510126;;;;273.2176344000036;None;None;None;[];273.2176344000036;None;"['7', '7', '7', '7']";"[0.8395496999728493, 1.279456099960953, 1.767340799968224, 2.095396999968216]";273.2176344000036;None;;;S11231a;2022_Feb_21_1906;VideoMask;2021.1.2;120.45333815782308;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;276.21762360003777;None;277.48402590001933;277.8007474000333;278.9840423000278;279.0007508000126;284.72574070002884;None;9;0;284.72574070002884;None;;;;;;;;8;;;;0.7711575999855995;;;;286.2755050000269;None;None;None;[];286.2755050000269;None;"['9', '9', '9']";"[0.5415947000146843, 0.8374558999785222, 1.157713100023102]";286.2755050000269;None;;;S11231a;2022_Feb_21_1906;VideoMask;2021.1.2;120.45333815782308;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;289.27550280001014;None;290.94200460001593;291.2586898000445;292.4087356000091;292.42527220002376;300.53351370000746;None;7;0;300.53351370000746;None;;;;;;;;2;;;;0.5556038999930024;;;;302.0834043000359;None;None;None;[];302.0834043000359;None;"['7', '7', '7', '7', '9']";"[0.3419776000082493, 0.6296169999986887, 0.9977874000323936, 1.8456655000336468, 2.6535614000167698]";302.0834043000359;None;;;S11231a;2022_Feb_21_1906;VideoMask;2021.1.2;120.45333815782308;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;305.08331050002016;None;307.05813489999855;307.37470980000217;308.53321220004;308.5498812000151;322.99950130004436;None;9;0;322.99950130004436;None;;;;;;;;6;;;;0.8896479000104591;;;;324.7742553999997;None;None;None;[];324.7742553999997;None;['9'];[0.6107849999680184];324.7742553999997;None;;;S11231a;2022_Feb_21_1906;VideoMask;2021.1.2;120.45333815782308;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;327.7833098000265;None;329.2740880000056;329.59086430002935;330.74086190003436;330.7575450000004;333.7407352000009;None;None;0;333.7407352000009;None;;;;;;;;7;;;;;;;;335.2905264000292;None;None;None;[];335.2905264000292;None;"['9', '9']";"[0.5425312999868765, 0.9027406999957748]";335.2905264000292;None;;;S11231a;2022_Feb_21_1906;VideoMask;2021.1.2;120.45333815782308;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;338.29068299999926;None;339.78230369999073;340.09881160000805;341.2903492000187;341.307199700037;343.85710530000506;None;8;0;343.85710530000506;None;;;;;;;;5;;;;0.6960271999705583;;;;345.40702839998994;None;None;None;[];345.40702839998994;None;None;;345.40702839998994;None;;;S11231a;2022_Feb_21_1906;VideoMask;2021.1.2;120.45333815782308;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;158.9411396037211;s_s;;;;;0;14;14;14;;;;;;;348.42344660003437;None;349.96520400000736;350.2818934000097;351.4899642000091;351.5068353000097;358.8398489000392;None;7;0;358.8398489000392;None;;;;;;;;1;;;;0.7212022999883629;;;;360.38993170001777;None;None;None;[];360.38993170001777;None;"['7', '7', '7', '7', '7', '7']";"[0.4831427000463009, 0.7949652000097558, 1.2512748000444844, 1.747380900022108, 2.0429632000159472, 2.6911987000494264]";360.38993170001777;None;;;S11231a;2022_Feb_21_1906;VideoMask;2021.1.2;120.45333815782308;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;180.59976631384873;h_s;;;;;0;15;15;15;;;;;;;363.3981720000156;None;365.11468240001705;365.4314200000372;366.5814594000112;366.5980661000358;368.5731751000276;None;7;0;368.5731751000276;None;;;;;;;;3;;;;1.3641604000004008;;;;370.1312565000262;None;None;None;[];370.1312565000262;None;"['7', '7']";"[0.5418122000410222, 0.973647000035271]";370.1312565000262;None;;;S11231a;2022_Feb_21_1906;VideoMask;2021.1.2;120.45333815782308;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_133.3.wmv;happy;9.0;incongruent;130.0;150.0;152.577966552593;s_h;;;;;0;16;16;16;;;;;;;373.13117310003145;None;374.6143211000017;374.9311265000142;376.0643882000004;376.081093100016;378.0643488999922;None;9;0;378.0643488999922;None;;;;;;;;7;;;;0.6566513000288978;;;;379.6143038000446;None;None;None;[];379.6143038000446;None;"['9', '9']";"[0.3549252999946475, 0.7228625999996439]";379.6143038000446;None;;;S11231a;2022_Feb_21_1906;VideoMask;2021.1.2;120.45333815782308;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_128.1.wmv;sad;7.0;incongruent;120.0;160.0;171.0492454518585;h_s;;;;;0;17;17;17;;;;;;;382.6141891000443;None;384.2723640000331;384.5891123000183;385.72216530004516;385.7391658000415;387.72237490001135;None;7;0;387.72237490001135;None;;;;;;;;2;;;;0.5667382999672554;;;;389.27236390003236;None;None;None;[];389.27236390003236;None;"['7', '7', '7', '9']";"[0.48874220001744106, 0.8408367999945767, 1.344690099998843, 1.9767203000374138]";389.27236390003236;None;;;S11231a;2022_Feb_21_1906;VideoMask;2021.1.2;120.45333815782308;
