primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
3.0;m;013_y_m_s_a.jpg;sad;7.0;sad_7.7ns.avi;sad;7.0;congruent;130.0;160.0;196.24182255763262;s_s;;;;;0;33;33;33;;;;;;;494.00582610000856;None;495.85583400004543;496.17254759999923;497.3306903000921;497.34814100014046;503.30567439994775;None;7;0;503.30567439994775;None;;;;;;;;5;;;;;0.5756385000422597;;;504.8556097999681;None;None;None;[];504.8556097999681;None;['7'];504.8556097999681;None;[2.5860272999852896];;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
3.0;m;013_y_m_h_a.jpg;happy;9.0;happy_9.1ns.avi;happy;9.0;congruent;120.0;150.0;165.1890303600433;h_h;;;;;0;34;34;34;;;;;;;507.8556286999956;None;509.4470357000828;509.76376929995604;510.89712530002;510.91376579995267;514.122076800093;None;9;0;514.122076800093;None;;;;;;;;6;;;;;0.455600299872458;;;515.6719472999685;None;None;None;[];515.6719472999685;None;['9'];515.6719472999685;None;[0.4734926999080926];;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
4.0;m;004_o_m_h_a.jpg;happy;9.0;sad_95.1ns.avi;sad;7.0;incongruent;120.0;160.0;152.68270002069931;h_s;;;;;0;35;35;35;;;;;;;518.6718182999175;None;520.1800055000931;520.4967388000805;521.6801346000284;521.6967186999973;530.4215903999284;None;7;0;530.4215903999284;None;;;;;;;;3;;;;;0.43582369992509484;;;531.9797823000699;None;None;None;[];531.9797823000699;None;"['7', '7']";531.9797823000699;None;"[0.6215258999727666, 1.2617548000998795]";;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
3.0;m;013_y_m_h_a.jpg;happy;9.0;sad_113.2.wmv;sad;7.0;incongruent;120.0;160.0;217.4973891947951;h_s;;;;;0;36;36;36;;;;;;;534.9881800999865;None;537.021633700002;537.337682900019;538.4629834999796;538.4795433001127;540.4713020999916;None;8;0;540.4713020999916;None;;;;;;;;5;;;;;1.1382160000503063;;;542.021130300127;None;None;None;[];542.021130300127;None;None;542.021130300127;None;;;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_25.1ns.avi;happy;9.0;congruent;120.0;150.0;216.63044503818386;h_h;;;;;0;37;37;37;;;;;;;545.0375576999504;None;547.0541137000546;547.3709273000713;548.5376568001229;548.5542142000049;552.1965099999215;None;9;0;552.1965099999215;None;;;;;;;;6;;;;;0.4287942999508232;;;553.7457296999637;None;None;None;[];553.7457296999637;None;['9'];553.7457296999637;None;[0.39149060007184744];;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_131.2.wmv;happy;9.0;incongruent;130.0;150.0;181.38407540847405;s_h;;;;;0;38;38;38;;;;;;;556.7458230000921;None;558.4705034999643;558.7871954999864;559.9204764000606;559.9372525000945;561.9205424000975;None;8;0;561.9205424000975;None;;;;;;;;5;;;;;0.8812637999653816;;;563.4704806001391;None;None;None;[];563.4704806001391;None;None;563.4704806001391;None;;;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
0.0;f;040_y_f_h_a.jpg;happy;9.0;happy_24.3ns.avi;happy;9.0;congruent;120.0;150.0;213.25460698950434;h_h;;;;;0;39;39;39;;;;;;;566.4952617001254;None;568.4701825000811;568.7869937000796;569.9451752000023;569.9618283999152;571.8453613000456;None;9;0;571.8453613000456;None;;;;;;;;6;;;;;0.4599610997829586;;;573.3951199001167;None;None;None;[];573.3951199001167;None;['9'];573.3951199001167;None;[0.39017240004613996];;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_139.1.wmv;happy;9.0;incongruent;130.0;150.0;162.31500468041804;s_h;;;;;0;40;40;40;;;;;;;576.3951938999817;None;577.9532199001405;578.2699534001295;579.4031229000539;579.4197897999547;581.4039417000022;None;None;0;581.4039417000022;None;;;;;;;;6;;;;;;;;582.9536514000501;None;None;None;[];582.9536514000501;None;['9'];582.9536514000501;None;[1.6476813999470323];;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
0.0;f;030_o_f_h_a.jpg;happy;9.0;happy_24.1ns.avi;happy;9.0;congruent;120.0;150.0;168.36256624020774;h_h;;;;;0;41;41;41;;;;;;;585.9531704001129;None;587.5612367000431;587.8777857001405;589.0528416000307;589.069573600078;592.3361875999253;None;9;0;592.3361875999253;None;;;;;;;;6;;;;;0.52909000008367;;;593.886135699926;None;None;None;[];593.886135699926;None;['9'];593.886135699926;None;[0.3713022000156343];;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
2.0;f;012_o_f_h_a.jpg;happy;9.0;sad_113.1.wmv;sad;7.0;incongruent;120.0;160.0;177.44551734737394;h_s;;;;;0;42;42;42;;;;;;;596.886220500106;None;598.5775615000166;598.8943018999416;600.0275121000595;600.044357100036;602.0276496999431;None;7;0;602.0276496999431;None;;;;;;;;3;;;;;0.965462300227955;;;603.577555899974;None;None;None;[];603.577555899974;None;"['7', '7']";603.577555899974;None;"[0.47130790003575385, 1.3913475000299513]";;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_64.5ns.avi;sad;7.0;congruent;130.0;160.0;130.55717223801247;s_s;;;;;0;43;43;43;;;;;;;606.5775007000193;None;607.8772887999658;608.1940325999167;609.3273549999576;609.3446504999883;615.9271331999917;None;7;0;615.9271331999917;None;;;;;;;;2;;;;;0.6661119000054896;;;617.4771108999848;None;None;None;[];617.4771108999848;None;"['7', '7', '7', '7']";617.4771108999848;None;"[0.43609649990685284, 0.8521312000229955, 1.300277499947697, 1.7399899999145418]";;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
7.0;m;027_o_m_h_a.jpg;happy;9.0;sad_117.1.wmv;sad;7.0;incongruent;120.0;160.0;181.28665202824095;h_s;;;;;0;44;44;44;;;;;;;620.4772151999641;None;622.201975800097;622.5185642999131;623.6599592000712;623.6768076999579;625.6518326001242;None;None;0;625.6518326001242;None;;;;;;;;5;;;;;;;;627.2019158001058;None;None;None;[];627.2019158001058;None;None;627.2019158001058;None;;;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
3.0;m;033_o_m_s_a.jpg;sad;7.0;happy_126.3.wmv;happy;9.0;incongruent;130.0;150.0;198.85252030535366;s_h;;;;;0;45;45;45;;;;;;;630.2267001001164;None;632.093167199986;632.4100200000685;633.5430391000118;633.5599194001406;635.5437813000754;None;None;0;635.5437813000754;None;;;;;;;;5;;;;;;;;637.0934321000241;None;None;None;[];637.0934321000241;None;None;637.0934321000241;None;;;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_136.1.wmv;sad;7.0;incongruent;120.0;160.0;176.97002883463455;h_s;;;;;0;46;46;46;;;;;;;640.1182852999773;None;641.8095410000533;642.1268798999954;643.2596859000623;643.2762895999476;645.2762001999654;None;7;0;645.2762001999654;None;;;;;;;;2;;;;;0.5409566001035273;;;646.826147200074;None;None;None;[];646.826147200074;None;"['7', '7', '7', '7']";646.826147200074;None;"[0.3110609999857843, 0.9832428998779505, 1.5513939999509603, 2.471176699968055]";;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
9.0;f;019_m_f_h_a.jpg;happy;9.0;happy_10.1ns.avi;happy;9.0;congruent;120.0;150.0;157.2463435658512;h_h;;;;;0;47;47;47;;;;;;;649.8262579001021;None;651.3591158001218;651.6761604999192;652.8094367999583;652.8261378000025;660.2508994000964;None;9;0;660.2508994000964;None;;;;;;;;8;;;;;0.4543086001649499;;;661.8007766001392;None;None;None;[];661.8007766001392;None;"['9', '9', '9']";661.8007766001392;None;"[0.5687642998527735, 1.2241911999881268, 2.4245831998996437]";;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_2.2ns.avi;happy;9.0;congruent;120.0;150.0;206.34800317295262;h_h;;;;;0;48;48;48;;;;;;;664.8007034000475;None;666.7670639001299;667.0838365999516;668.2338409000076;668.2505165000912;680.4171573000494;None;9;0;680.4171573000494;None;;;;;;;;6;;;;;0.43209530017338693;;;681.9750864999369;None;None;None;[];681.9750864999369;None;['9'];681.9750864999369;None;[0.35396900004707277];;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
3.0;m;033_o_m_h_a.jpg;happy;9.0;happy_24.2ns.avi;happy;9.0;congruent;120.0;150.0;167.9423847659953;h_h;;;;;0;49;49;49;;;;;;;684.9751087001059;None;686.5748203999829;686.8915341999382;688.0164801001083;688.0332414999139;691.7588237000164;None;9;0;691.7588237000164;None;;;;;;;;6;;;;;0.43423200002871454;;;693.3663164000027;None;None;None;[];693.3663164000027;None;['9'];693.3663164000027;None;[0.6588516999036074];;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
1.0;f;021_o_f_s_a.jpg;sad;7.0;happy_61.2ns.avi;happy;9.0;incongruent;130.0;150.0;210.94664004826666;s_h;;;;;0;50;50;50;;;;;;;696.3663415000774;None;698.3326753000729;698.6495425999165;699.8576956000179;699.8744912000839;704.3079850999638;None;9;0;704.3079850999638;None;;;;;;;;7;;;;;0.4290102000813931;;;705.8576649001334;None;None;None;[];705.8576649001334;None;"['9', '9']";705.8576649001334;None;"[0.4075682999100536, 0.8234608999919146]";;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
