Participant,Group,Condition,ReactionTime
Sub-042,1.0,happy_sad,0.7003825250018659
Sub-042,1.0,sad_happy,0.6729936733279221
Sub-042,1.0,sad_sad,0.5564398200037733
Sub-043,2.0,happy_happy,0.6337463266643074
Sub-043,2.0,happy_sad,0.8511658266691181
Sub-043,2.0,sad_happy,0.5766477600050469
Sub-043,2.0,sad_sad,0.6895268307774901
Sub-044,1.0,happy_happy,0.6142310199968051
Sub-044,1.0,happy_sad,0.8656459000000419
Sub-044,1.0,sad_happy,0.6750796714248801
Sub-044,1.0,sad_sad,0.8497750461549283
Sub-045,2.0,happy_happy,0.5427514399945115
Sub-045,2.0,happy_sad,0.7065253142832911
Sub-045,2.0,sad_happy,0.530248406669125
Sub-045,2.0,sad_sad,0.6177678533286477
Sub-046,2.0,happy_happy,0.5953425800039743
Sub-046,2.0,happy_sad,0.6917625000157083
Sub-046,2.0,sad_happy,0.490571738471492
Sub-046,2.0,sad_sad,0.5971714866580442
Sub-047,2.0,happy_happy,0.6726241461807289
Sub-047,2.0,happy_sad,0.7739240363642405
Sub-047,2.0,sad_happy,0.6776278266605611
Sub-047,2.0,sad_sad,0.6386667142838373
Sub-048,1.0,happy_happy,0.6071131799835712
Sub-048,1.0,happy_sad,0.7194795749965124
Sub-048,1.0,sad_happy,0.5705584230958126
Sub-048,1.0,sad_sad,0.7605365642812103
Sub-049,1.0,happy_happy,0.8439767799961071
Sub-049,1.0,happy_sad,0.9146868923607354
Sub-049,1.0,sad_happy,0.8561860200638572
Sub-049,1.0,sad_sad,0.923709913327669
Sub-050,2.0,happy_happy,0.6014699200013032
Sub-050,2.0,happy_sad,0.8767087833063366
Sub-050,2.0,sad_happy,0.5659797615192544
Sub-050,2.0,sad_sad,0.769538018132814
Sub-051,2.0,happy_happy,0.6951808999758213
Sub-051,2.0,happy_sad,0.9165946750435978
Sub-051,2.0,sad_happy,0.7137312599768241
Sub-051,2.0,sad_sad,0.8352341000169802
Sub-052,2.0,happy_happy,0.6842208357141187
Sub-052,2.0,happy_sad,0.6030854200003279
Sub-052,2.0,sad_happy,0.6150676933320938
Sub-052,2.0,sad_sad,0.6195662466634531
Sub-053,2.0,happy_happy,0.6599913133230682
Sub-053,2.0,happy_sad,0.957731178562556
Sub-053,2.0,sad_happy,0.7436780799956372
Sub-053,2.0,sad_sad,0.7683930071237098
Sub-054,2.0,happy_happy,0.5345991466667631
Sub-054,2.0,happy_sad,0.6703577071428819
Sub-054,2.0,sad_happy,0.5881312428571489
Sub-054,2.0,sad_sad,0.4863459066665807
Sub-055,2.0,happy_happy,0.7505709538460136
Sub-055,2.0,happy_sad,0.8830002642851988
Sub-055,2.0,sad_happy,0.5927579214330763
Sub-055,2.0,sad_sad,0.7187779799957449
Sub-056,2.0,happy_happy,0.7834217799982677
Sub-056,2.0,happy_sad,0.9476558153848879
Sub-056,2.0,sad_happy,0.8799239076906815
Sub-056,2.0,sad_sad,0.954503207151512
Sub-057,2.0,happy_happy,0.9921366615383774
Sub-057,2.0,happy_sad,0.9810438300006352
Sub-057,2.0,sad_happy,0.9346857272734764
Sub-057,2.0,sad_sad,0.9629527636365808
Sub-059,2.0,happy_happy,0.5879234666664463
Sub-059,2.0,happy_sad,0.8173526363643759
Sub-059,2.0,sad_happy,0.5974890599994979
Sub-059,2.0,sad_sad,0.6636616799999805
Sub-061,1.0,happy_happy,0.5601445866663805
Sub-061,1.0,happy_sad,0.7942147599998861
Sub-061,1.0,sad_happy,0.7328028428569918
Sub-061,1.0,sad_sad,0.6288929866668089
Sub-062,2.0,happy_happy,0.6105682428585298
Sub-062,2.0,happy_sad,0.7722888769225952
Sub-062,2.0,sad_happy,0.6462956533340427
Sub-062,2.0,sad_sad,0.5008229700004451
