participantID,age,sex,group,condition,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,key_resp.rt,correct
Sub-024,23.0,1.0,2.0,happy_happy,0,0,0,0,9,6,0,0,0,0.6305022461590573,100.0
Sub-024,23.0,1.0,2.0,happy_sad,0,0,1,3,11,0,0,0,0,0.7557186499637153,92.85714285714286
Sub-024,23.0,1.0,2.0,sad_happy,0,0,0,0,11,2,2,0,0,0.6027656333055347,100.0
Sub-024,23.0,1.0,2.0,sad_sad,0,0,2,5,7,1,0,0,0,0.7499501199927181,80.0
Sub-025,32.0,2.0,2.0,happy_happy,0,0,0,0,0,2,1,4,8,0.35871330002555624,100.0
Sub-025,32.0,2.0,2.0,happy_sad,3,7,5,0,0,0,0,0,0,0.3100963333272375,100.0
Sub-025,32.0,2.0,2.0,sad_happy,0,0,0,0,0,4,1,6,4,1.2729091999935918,100.0
Sub-025,32.0,2.0,2.0,sad_sad,6,8,1,0,0,0,0,0,0,0.33058193333757424,100.0
Sub-026,26.0,2.0,1.0,happy_happy,0,0,1,1,6,4,2,0,0,0.3896848999429494,100.0
Sub-026,26.0,2.0,1.0,happy_sad,1,1,8,2,1,0,0,0,0,0.7505704500945285,100.0
Sub-026,26.0,2.0,1.0,sad_happy,0,0,0,2,4,7,0,0,0,0.4635337000945583,100.0
Sub-026,26.0,2.0,1.0,sad_sad,1,4,6,2,1,0,0,0,0,0.7639388999280831,100.0
Sub-027,22.0,2.0,2.0,happy_happy,0,0,1,3,3,4,2,1,1,0.6036659999684032,85.71428571428571
Sub-027,22.0,2.0,2.0,happy_sad,1,2,5,5,2,0,0,0,0,0.9098615500377492,80.0
Sub-027,22.0,2.0,2.0,sad_happy,0,0,0,1,2,5,6,1,0,0.5800630857037115,100.0
Sub-027,22.0,2.0,2.0,sad_sad,0,1,5,9,0,0,0,0,0,0.7019343636718325,100.0
Sub-028,26.0,2.0,2.0,happy_happy,0,0,0,0,3,6,6,0,0,0.6453976400351773,93.33333333333333
Sub-028,26.0,2.0,2.0,happy_sad,0,1,0,3,11,0,0,0,0,0.7849834733176977,73.33333333333333
Sub-028,26.0,2.0,2.0,sad_happy,0,0,0,0,11,1,2,1,0,0.6674802199782183,73.33333333333333
Sub-028,26.0,2.0,2.0,sad_sad,0,0,1,3,11,0,0,0,0,0.8964215999973627,75.0
Sub-029,21.0,2.0,2.0,happy_happy,0,0,0,1,0,2,8,3,1,0.5681958533202608,100.0
Sub-029,21.0,2.0,2.0,happy_sad,0,1,3,7,4,0,0,0,0,0.7122211642729651,100.0
Sub-029,21.0,2.0,2.0,sad_happy,0,0,0,0,1,7,6,1,0,0.6076305866551895,100.0
Sub-029,21.0,2.0,2.0,sad_sad,0,1,4,7,3,0,0,0,0,0.6694931214109862,85.71428571428571
Sub-030,26.0,2.0,2.0,happy_happy,0,0,0,0,3,8,2,2,0,0.8109835923051623,84.61538461538461
Sub-030,26.0,2.0,2.0,happy_sad,2,0,2,6,5,0,0,0,0,0.8904658777788023,77.77777777777779
Sub-030,26.0,2.0,2.0,sad_happy,0,0,0,0,2,10,2,1,0,0.7602709266657863,86.66666666666667
Sub-030,26.0,2.0,2.0,sad_sad,2,5,4,3,1,0,0,0,0,0.7475563071399977,100.0
Sub-031,21.0,1.0,2.0,happy_happy,0,0,0,0,8,2,4,1,0,0.44914960000508775,93.33333333333333
Sub-031,21.0,1.0,2.0,happy_sad,0,0,1,3,11,0,0,0,0,0.6510033285760853,92.85714285714286
Sub-031,21.0,1.0,2.0,sad_happy,0,0,0,0,7,5,2,1,0,0.5015503856952169,100.0
Sub-031,21.0,1.0,2.0,sad_sad,0,2,4,4,5,0,0,0,0,0.5837053666512172,93.33333333333333
Sub-032,25.0,2.0,2.0,happy_happy,0,0,0,0,0,2,4,5,4,0.5963971999978336,83.33333333333334
Sub-032,25.0,2.0,2.0,happy_sad,2,4,5,1,3,0,0,0,0,0.6979164466417084,13.333333333333334
